"","PCo1","PCo2","sample","City","Location"
"cpsnj01",-0.0914312345168658,-0.240938756646281,"cpsnj01","Nanjing","Nanjing Agricultural University"
"cpsnj02",-0.0521905953666808,-0.180309725104153,"cpsnj02","Nanjing","Nanjing Agricultural University"
"cpsnj03",-0.076828775222391,-0.259705810954246,"cpsnj03","Nanjing","Nanjing Agricultural University"
"cpsnj04",-0.0717903021199534,-0.214471278525165,"cpsnj04","Nanjing","Nanjing Agricultural University"
"cpsnj08",-0.168024338165601,-0.0578236847924118,"cpsnj08","Nanjing","Sun Yat-sen Mausoleum"
"cpsnj09",-0.210380844853055,0.175953582697624,"cpsnj09","Nanjing","Sun Yat-sen Mausoleum"
"cpsnj10",-0.230401391106878,0.181921468239055,"cpsnj10","Nanjing","Sun Yat-sen Mausoleum"
"cpsnj11",-0.295568195671744,0.174637552078587,"cpsnj11","Nanjing","Sun Yat-sen Mausoleum"
"cpsnj13",-0.183923393691228,0.165720837526513,"cpsnj13","Nanjing","Sun Yat-sen Mausoleum"
"cpsnj14",-0.228743642235887,0.245026203774404,"cpsnj14","Nanjing","Sun Yat-sen Mausoleum"
"cpsnj15",-0.167348208641462,0.0180410756148866,"cpsnj15","Nanjing","Sun Yat-sen Mausoleum"
"cpsnj16",-0.272486390904335,0.0762613652496686,"cpsnj16","Nanjing","Sun Yat-sen Mausoleum"
"cpsnj19",-0.0739836919996941,-0.242361225058512,"cpsnj19","Nanjing","Sun Yat-sen Mausoleum"
"cpsnj20",-0.067881006249298,-0.174563230847447,"cpsnj20","Nanjing","Sun Yat-sen Mausoleum"
"s10",0.263348286753966,0.178171194407693,"s10","Shanghai","GongQing Forest Park"
"s11",0.146533083787585,0.0991372405264777,"s11","Shanghai","GongQing Forest Park"
"s12",0.123384688046451,0.0989444354716125,"s12","Shanghai","GongQing Forest Park"
"s13",0.238888186686488,0.14286718987112,"s13","Shanghai","GongQing Forest Park"
"s14",-0.0547786625426849,0.0948352602611296,"s14","Shanghai","GongQing Forest Park"
"s15",0.200672422373317,0.019845798580604,"s15","Shanghai","GongQing Forest Park"
"s16",0.245251959657214,-0.0591243746140588,"s16","Shanghai","GongQing Forest Park"
"s17",0.212915821363257,0.144431755150489,"s17","Shanghai","GongQing Forest Park"
"s18",0.158018414847335,0.166802614251331,"s18","Shanghai","GongQing Forest Park"
"s19",0.0855814340746473,0.0287390090207078,"s19","Shanghai","HuangXing Park"
"s1",0.24935032223278,0.00105090473647099,"s1","Shanghai","Fudan University"
"s20",0.170112850869089,0.0733440517701221,"s20","Shanghai","HuangXing Park"
"s21",0.197219948583768,0.0904774352156137,"s21","Shanghai","HuangXing Park"
"s22",0.278657469900559,0.0399846816952936,"s22","Shanghai","HuangXing Park"
"s23",0.0966061604054868,-0.132412043652434,"s23","Shanghai","ShiJi Park"
"s24",0.12489697281222,-0.125760010559325,"s24","Shanghai","ShiJi Park"
"s25",0.275478511661622,0.0653989881844069,"s25","Shanghai","ShiJi Park"
"s26",0.120938866020021,0.0794932144388843,"s26","Shanghai","ShiJi Park"
"s27",0.0953537681543063,0.0921135871995467,"s27","Shanghai","ShiJi Park"
"s28",-0.0647578560284908,-0.0378622184195678,"s28","Shanghai","ShiJi Park"
"s29",0.0235601950828537,-0.0574325368986119,"s29","Shanghai","ShiJi Park"
"s2",0.183173249343284,-0.11685559057175,"s2","Shanghai","Fudan University"
"s30",0.04333296476162,-0.0122640675733743,"s30","Shanghai","ShiJi Park"
"s3",0.196036414741779,0.135262489036055,"s3","Shanghai","Fudan University"
"s4",0.198137195767487,0.138934592484249,"s4","Shanghai","Fudan University"
"s5",0.112823776268166,-0.138417686341843,"s5","Shanghai","Fudan University"
"s6",0.146820762199115,-0.129756143433807,"s6","Shanghai","Fudan University"
"s7",0.224066922671,-0.0892458910874324,"s7","Shanghai","Fudan University"
"s8",0.179137871458634,0.146047505748031,"s8","Shanghai","Fudan University"
"s9",0.0879613610538596,-0.151409114476621,"s9","Shanghai","Fudan University"
"snj01",-0.0734180838090066,-0.20538035281407,"snj01","Nanjing","Nanjing Agricultural University"
"snj02",-0.0464896800129337,-0.127959535724328,"snj02","Nanjing","Nanjing Agricultural University"
"snj03",-0.130846232431011,-0.265052740881792,"snj03","Nanjing","Nanjing Agricultural University"
"snj04",-0.0525473877584106,-0.202438134320776,"snj04","Nanjing","Nanjing Agricultural University"
"snj08",-0.169213091293262,-0.025798923693538,"snj08","Nanjing","Sun Yat-sen Mausoleum"
"snj09",-0.203405983131678,0.136498616523159,"snj09","Nanjing","Sun Yat-sen Mausoleum"
"snj10",-0.25889847142176,0.135935712357428,"snj10","Nanjing","Sun Yat-sen Mausoleum"
"snj11",-0.296007634682347,0.137412201307674,"snj11","Nanjing","Sun Yat-sen Mausoleum"
"snj13",-0.176234726254616,0.118763246668963,"snj13","Nanjing","Sun Yat-sen Mausoleum"
"snj14",-0.273886379974154,0.232918974183985,"snj14","Nanjing","Sun Yat-sen Mausoleum"
"snj15",-0.156859394392112,0.0474746635142929,"snj15","Nanjing","Sun Yat-sen Mausoleum"
"snj16",-0.221810218909286,-0.0196699792393093,"snj16","Nanjing","Sun Yat-sen Mausoleum"
"snj19",-0.127076378256252,-0.232734500938847,"snj19","Nanjing","Sun Yat-sen Mausoleum"
"snj20",-0.181047689934828,-0.182699890616374,"snj20","Nanjing","Sun Yat-sen Mausoleum"
