City,Location,sample,ARG number
Nanjing,Nanjing Agricultural University,cpsnj01,545
Nanjing,Nanjing Agricultural University,cpsnj02,527
Nanjing,Nanjing Agricultural University,cpsnj03,669
Nanjing,Nanjing Agricultural University,cpsnj04,879
Nanjing,Nanjing Agricultural University,snj01,473
Nanjing,Nanjing Agricultural University,snj02,456
Nanjing,Nanjing Agricultural University,snj03,594
Nanjing,Nanjing Agricultural University,snj04,686
Nanjing,Sun Yat-sen Mausoleum,cpsnj08,638
Nanjing,Sun Yat-sen Mausoleum,cpsnj09,1075
Nanjing,Sun Yat-sen Mausoleum,cpsnj10,838
Nanjing,Sun Yat-sen Mausoleum,cpsnj11,813
Nanjing,Sun Yat-sen Mausoleum,cpsnj13,642
Nanjing,Sun Yat-sen Mausoleum,cpsnj14,810
Nanjing,Sun Yat-sen Mausoleum,cpsnj15,499
Nanjing,Sun Yat-sen Mausoleum,cpsnj16,593
Nanjing,Sun Yat-sen Mausoleum,cpsnj19,719
Nanjing,Sun Yat-sen Mausoleum,cpsnj20,509
Nanjing,Sun Yat-sen Mausoleum,snj08,882
Nanjing,Sun Yat-sen Mausoleum,snj09,854
Nanjing,Sun Yat-sen Mausoleum,snj10,599
Nanjing,Sun Yat-sen Mausoleum,snj11,846
Nanjing,Sun Yat-sen Mausoleum,snj13,671
Nanjing,Sun Yat-sen Mausoleum,snj14,689
Nanjing,Sun Yat-sen Mausoleum,snj15,612
Nanjing,Sun Yat-sen Mausoleum,snj16,542
Nanjing,Sun Yat-sen Mausoleum,snj19,667
Nanjing,Sun Yat-sen Mausoleum,snj20,783
Shanghai,Fudan University,s1,654
Shanghai,Fudan University,s2,370
Shanghai,Fudan University,s3,550
Shanghai,Fudan University,s5,594
Shanghai,Fudan University,s6,833
Shanghai,Fudan University,s7,751
Shanghai,Fudan University,s8,693
Shanghai,Fudan University,s9,651
Shanghai,GongQing Forest Park,s10,607
Shanghai,GongQing Forest Park,s12,385
Shanghai,GongQing Forest Park,s13,644
Shanghai,GongQing Forest Park,s14,661
Shanghai,GongQing Forest Park,s15,764
Shanghai,GongQing Forest Park,s16,751
Shanghai,GongQing Forest Park,s17,629
Shanghai,GongQing Forest Park,s18,968
Shanghai,HuangXing Park,s19,388
Shanghai,HuangXing Park,s20,774
Shanghai,HuangXing Park,s21,561
Shanghai,HuangXing Park,s22,499
Shanghai,ShiJi Park,s23,610
Shanghai,ShiJi Park,s24,523
Shanghai,ShiJi Park,s25,630
Shanghai,ShiJi Park,s26,574
Shanghai,ShiJi Park,s27,766
Shanghai,ShiJi Park,s28,708
Shanghai,ShiJi Park,s29,531
Shanghai,ShiJi Park,s30,521
