"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"g__20CM.2.65.7"	"City"	"ShangHai"	"CityShangHai"	4.25774802548703	0.00758344118238435	0.428551680926249	5.75872682873069e-13	1.16740910272028e-08	5.75872682873069e-13	6.71985833644584e-09	NA	"abundance"	58	56
"g__JAJKIV01"	"City"	"ShangHai"	"CityShangHai"	-1.74128684962045	0.00758344118238435	0.204696996658832	4.56554793970554e-11	1.88305541470868e-07	4.56554793970554e-11	1.08392727082851e-07	NA	"abundance"	58	58
"g__JJ008"	"City"	"ShangHai"	"CityShangHai"	-1.45608799298833	0.00758344118238435	0.168370261780188	3.1629365793151e-11	1.88305541470868e-07	3.1629365793151e-11	1.08392727082851e-07	NA	"abundance"	58	58
"g__Phenylobacterium"	"City"	"ShangHai"	"CityShangHai"	-2.32822434440596	0.00758344118238435	0.274719973593261	4.64447369452614e-11	1.88305541470868e-07	4.64447369452614e-11	1.08392727082851e-07	NA	"abundance"	58	58
"g__SHXO01"	"City"	"ShangHai"	"CityShangHai"	1.9561219166247	0.00758344118238435	0.224286804854871	2.71102029714143e-11	1.88305541470868e-07	2.71102029714143e-11	1.08392727082851e-07	NA	"abundance"	58	58
"g__Novosphingobium"	"City"	"ShangHai"	"CityShangHai"	-2.56884201398745	0.00758344118238435	0.309846346529342	8.26712032164778e-11	2.7931843860074e-07	8.26712032164778e-11	1.6078171172218e-07	NA	"abundance"	58	58
"g__Sphingomonas"	"City"	"ShangHai"	"CityShangHai"	-2.27731264188283	0.00758344118238435	0.287180542317136	3.0126279249032e-10	8.72457047051967e-07	3.0126279249032e-10	5.02205075081363e-07	NA	"abundance"	58	58
"g__SMYC01"	"City"	"ShangHai"	"CityShangHai"	2.20777558938173	0.00758344118238435	0.275101791424778	7.79856179633498e-10	1.97615555919128e-06	7.79856179633498e-10	1.13751772001791e-06	NA	"abundance"	58	50
"g__WYBL01"	"City"	"ShangHai"	"CityShangHai"	1.55365286774162	0.00758344118238435	0.202810188739698	1.11141351677446e-09	2.5033972013391e-06	1.11141351677446e-09	1.44100936969347e-06	NA	"abundance"	58	58
"g__Variovorax"	"City"	"ShangHai"	"CityShangHai"	-2.15341939903495	0.00758344118238435	0.281765513859191	1.39638423046762e-09	2.83075011200395e-06	1.39638423046762e-09	1.62944075853266e-06	NA	"abundance"	58	54
