accession	clan	clan_description	PSSM_Id	GMSC_count	GMSC_fraction	short_name	description	PSSM_Length	clan_id	short_description	group
08281	HTH	Helix-turn-helix clan	400535	7473	0.005510220784880184	Sigma70_r4_2	Sigma-70, region 4. Region 4 of sigma-70 like sigma-factors are involved in binding to the -35 promoter element via a helix-turn-helix motif.	54	CL0123	Sigma-70, region 4	Helix-turn-helix clan
04545	HTH	Helix-turn-helix clan	427999	7254	0.005348741010774904	Sigma70_r4	Sigma-70, region 4. Region 4 of sigma-70 like sigma-factors are involved in binding to the -35 promoter element via a helix-turn-helix motif. Due to the way Pfam works, the threshold has been set artificially high to prevent overlaps with other helix-turn-helix families. Therefore there are many false negatives.	50	CL0123	Sigma-70, region 4	Helix-turn-helix clan
00196	HTH	Helix-turn-helix clan	425517	6656	0.004907805371893818	GerE	Bacterial regulatory proteins, luxR family. 	57	CL0123	Bacterial regulatory proteins, luxR family	Helix-turn-helix clan
02954	HTH	Helix-turn-helix clan	427077	6232	0.004595168731616929	HTH_8	Bacterial regulatory protein, Fis family. 	40	CL0123	Bacterial regulatory protein, Fis family	Helix-turn-helix clan
00313	OB	OB fold	278729	5943	0.0043820744178432935	CSD	'Cold-shock' DNA-binding domain. 	66	CL0021	'Cold-shock' DNA-binding domain	OB fold
12399	P-loop_NTPase	P-loop containing nucleoside triphosphate hydrolase superfamily	432527	4812	0.003548130926916024	BCA_ABC_TP_C	Branched-chain amino acid ATP-binding cassette transporter. This domain family is found in bacteria, archaea and eukaryotes, and is approximately 30 amino acids in length. The family is found in association with pfam00005. There is a conserved AYLG sequence motif. This family is the C terminal of an ATP dependent branched-chain amino acid transporter.	23	CL0023	Branched-chain amino acid ATP-binding cassette transporter	P-loop containing nucleoside triphosphate hydrolase superfamily
00486	HTH	Helix-turn-helix clan	425712	4154	0.0030629542540334927	Trans_reg_C	Transcriptional regulatory protein, C terminal. 	77	CL0123	Transcriptional regulatory protein, C terminal	Helix-turn-helix clan
02597	Ubiquitin	Ubiquitin superfamily	396932	4107	0.003028298777399025	ThiS	ThiS family. ThiS (thiaminS) is a 66 aa protein involved in sulphur transfer. ThiS is coded in the thiCEFSGH operon in E. coli. This family of proteins have two conserved Glycines at the COOH terminus. Thiocarboxylate is formed at the last G in the activation process. Sulphur is transferred from ThiI to ThiS in a reaction catalyzed by IscS. MoaD, a protein involved sulphur transfer in molybdopterin synthesis, is about the same length and shows limited sequence similarity to ThiS. Both have the conserved GG at the COOH end.	74	CL0072	ThiS family	Ubiquitin superfamily
01381	HTH	Helix-turn-helix clan	396104	3865	0.002849859940259857	HTH_3	Helix-turn-helix. This large family of DNA binding helix-turn helix proteins includes Cro and CI. Within Neisseria gonorrhoeae NGO_0477, the full protein fold incorporates a helix-turn-helix motif, but the function of this member is unlikely to be that of a DNA-binding regulator, the function of most other members, so is not necessarily characteristic of the whole family.	55	CL0123	Helix-turn-helix	Helix-turn-helix clan
00550	PP-binding	ACP-like superfamily	425746	3590	0.002647088534419893	PP-binding	Phosphopantetheine attachment site. A 4'-phosphopantetheine prosthetic group is attached through a serine. This prosthetic group acts as a a 'swinging arm' for the attachment of activated fatty acid and amino-acid groups. This domain forms a four helix bundle. This family includes members not included in Prosite. The inclusion of these members is supported by sequence analysis and functional evidence. The related domain of the anguibactin system regulator AngR has the attachment serine replaced by an alanine.	62	CL0314	Phosphopantetheine attachment site	ACP-like superfamily
