sample,chao1,simpson,shannon,Site,Ecosystem
SRR25158350,2815.955027091436,0.9713600042674608,6.893876171892876,SMAG,Wetland
SRR25158304,2518.101708637826,0.9713105472763184,6.556216983897471,SMAG,Bare Land
SRR25158536,3913.855805020642,0.9713236422716256,7.321939959236686,SMAG,Forest
SRR25158444,4700.1534022685,0.9713833177063068,7.310065767025665,SMAG,Agricultural Land
SRR25158393,4808.474763208009,0.9713783741648706,7.4245900311687265,SMAG,Agricultural Land
SRR25158420,3179.5358745688354,0.9713616132665632,7.117364212896132,SMAG,Agricultural Land
SRR25158531,4119.166297352791,0.9713799534323596,7.2451664191783935,SMAG,Agricultural Land
SRR25158458,4082.4399340972855,0.9713940393659974,7.280782828256156,SMAG,Wetland
SRR25158221,6211.863634367141,0.9713837487378418,7.699668717367376,SMAG,Agricultural Land
SRR25158489,4596.529797887005,0.971361696661848,7.428149872228019,SMAG,Agricultural Land
SRR25158365,5061.753722782298,0.9713752302145304,7.603557274951085,SMAG,Agricultural Land
SRR25158336,2490.795905678041,0.9713642026017384,6.582400259204051,SMAG,Wetland
SRR25158282,5866.065790120779,0.9713803076066612,7.696709855682386,SMAG,Agricultural Land
SRR25158252,3547.718908181665,0.971370471774474,7.130964912332454,SMAG,Agricultural Land
SRR25158291,3339.9885567414844,0.9713387992117808,6.795673994376814,SMAG,Forest
SRR25158190,5236.883210602234,0.9713635051696438,7.434258546765807,SMAG,Grassland
SRR25158362,6102.656388058392,0.9713644442767556,7.579025717697228,SMAG,Agricultural Land
SRR25158226,3421.344294091779,0.9713125372937688,7.248189981057366,SMAG,Agricultural Land
SRR25158376,4931.929955058435,0.9713683187782368,7.448259456435028,SMAG,Agricultural Land
SRR25158249,3889.3015219496538,0.9713039033877814,7.283884521967173,SMAG,Wetland
SRR25158320,4842.969407103772,0.971352831920554,7.4547356731582175,SMAG,Agricultural Land
SRR25158384,4579.597114392889,0.9713787353885874,7.409424758308048,SMAG,Agricultural Land
SRR25158484,4681.504821088934,0.9713711314340576,7.401759998791592,SMAG,Agricultural Land
SRR25158389,5016.452024134497,0.9714011716601044,7.470686363286747,SMAG,Agricultural Land
SRR25158523,5092.2350765789815,0.9713801644528656,7.4260271361563,SMAG,Forest
SRR25158316,4424.024392273046,0.9713315423873224,7.388643452324551,SMAG,Agricultural Land
SRR25158191,3973.0057358205127,0.9713800707759828,7.295028164980258,SMAG,Agricultural Land
SRR25158452,2737.311724703779,0.9713562397301512,6.803082500486722,SMAG,Agricultural Land
