Sample,Fragments N50,Site
CPSNJ01,54070,NanJing_8
CPSNJ02,44941,NanJing_8
CPSNJ03,41825,NanJing_8
CPSNJ04,51557,NanJing_8
CPSNJ08,47353,NanJing_8
CPSNJ09,63901,NanJing_8
CPSNJ10,71491,NanJing_8
CPSNJ11,68347,NanJing_8
CPSNJ13,62823,NanJing_8
CPSNJ14,63624,NanJing_8
CPSNJ15,50468,NanJing_8
CPSNJ16,49507,NanJing_8
CPSNJ19,63897,NanJing_8
CPSNJ20,52833,NanJing_8
s1,67922,ShangHai
s10,66799,ShangHai
s11,61688,ShangHai
s12,104558,ShangHai
s13,81984,ShangHai
s14,116356,ShangHai
s15,78357,ShangHai
s16,106940,ShangHai
s17,103005,ShangHai
s18,45446,ShangHai
s19,56250,ShangHai
s2,46738,ShangHai
s20,46638,ShangHai
s21,46581,ShangHai
s22,107657,ShangHai
s23,42122,ShangHai
s24,60926,ShangHai
s25,58789,ShangHai
s26,71969,ShangHai
s27,60233,ShangHai
s28,93893,ShangHai
s29,100461,ShangHai
s3,82330,ShangHai
s30,97755,ShangHai
s4,88491,ShangHai
s5,90430,ShangHai
s6,80656,ShangHai
s7,81866,ShangHai
s8,86087,ShangHai
s9,68828,ShangHai
SNJ01,56250,NanJing_5
SNJ02,68181,NanJing_5
SNJ03,86883,NanJing_5
SNJ04,83392,NanJing_5
SNJ08,56152,NanJing_5
SNJ09,109390,NanJing_5
SNJ10,92958,NanJing_5
SNJ11,113511,NanJing_5
SNJ13,95296,NanJing_5
SNJ14,105368,NanJing_5
SNJ15,71078,NanJing_5
SNJ16,105928,NanJing_5
SNJ19,85370,NanJing_5
SNJ20,88831,NanJing_5
