disinfecting agents and antiseptics	612
glycopeptide antibiotic	15748
fluoroquinolone antibiotic; tetracycline antibiotic	12982
tetracycline antibiotic	257
aminoglycoside antibiotic	214
fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	158
rifamycin antibiotic	71
phosphonic acid antibiotic	159
fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	3
tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic	21
elfamycin antibiotic	2
macrolide antibiotic; fluoroquinolone antibiotic; penam	1
phenicol antibiotic	1
monobactam; cephalosporin; penam; penem	1
fluoroquinolone antibiotic	5
diaminopyrimidine antibiotic	20
peptide antibiotic	3
fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	19
cephalosporin; cephamycin; penam	2
cephalosporin; penam	10
carbapenem	7
lincosamide antibiotic	1
sulfonamide antibiotic	1
nitroimidazole antibiotic	1
macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	2
carbapenem; cephalosporin; penam	2
