small multidrug resistance (SMR) antibiotic efflux pump	614
vanW; glycopeptide resistance gene cluster	4673
glycopeptide resistance gene cluster; vanT	6714
vanY; glycopeptide resistance gene cluster	3420
resistance-nodulation-cell division (RND) antibiotic efflux pump	13143
glycopeptide resistance gene cluster; Van ligase	246
tetracycline-resistant ribosomal protection protein	256
antibiotic-resistant rpsL	203
AAC(3)	2
vanH; glycopeptide resistance gene cluster	682
rifampin monooxygenase	51
fosfomycin thiol transferase	158
helicase-like RNA polymerase protection protein	19
major facilitator superfamily (MFS) antibiotic efflux pump	7
AAC(6')	9
ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	1
Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	21
elfamycin resistant EF-Tu	2
TEM beta-lactamase	1
trimethoprim resistant dihydrofolate reductase dfr	20
vanX; glycopeptide resistance gene cluster	13
undecaprenyl pyrophosphate related proteins	1
ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	17
Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	2
OXA beta-lactamase; OXA-50-like beta-lactamase	10
GRD23 beta-lactamase	1
BJP beta-lactamase	3
pmr phosphoethanolamine transferase	2
lincosamide nucleotidyltransferase (LNU)	1
resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	2
sulfonamide resistant dihydropteroate synthase folP	1
nitroimidazole reductase	1
JOHN beta-lactamase	2
antibiotic-resistant murA transferase	1
RbpA bacterial RNA polymerase-binding protein	1
DHT2 beta-lactamase	2
CRD3 beta-lactamase	1
