Sample,All MAGs,High Quality,Medium Quality,Site
sample1,1929,40,180,ShangHai
sample2,1015,20,76,ShangHai
sample3,1281,15,101,ShangHai
sample4,1436,25,122,ShangHai
sample5,1313,26,83,ShangHai
sample6,1819,24,138,ShangHai
sample7,1769,39,156,ShangHai
sample8,1999,14,67,ShangHai
sample9,1634,10,36,ShangHai
sample10,1386,9,45,ShangHai
sample11,1675,11,59,ShangHai
sample12,1270,7,57,ShangHai
sample13,1696,34,151,ShangHai
sample14,1670,7,75,ShangHai
sample15,2013,27,169,ShangHai
sample16,1881,30,171,ShangHai
sample17,1676,28,162,ShangHai
sample18,2134,78,214,ShangHai
sample19,1863,39,149,ShangHai
sample20,2382,51,182,ShangHai
sample21,1920,25,115,ShangHai
sample22,1716,36,133,ShangHai
sample23,2056,28,103,ShangHai
sample24,1320,9,85,ShangHai
sample25,1641,23,163,ShangHai
sample26,1373,20,98,ShangHai
sample27,1619,9,117,ShangHai
sample28,1472,10,99,ShangHai
sample29,1805,49,167,ShangHai
sample30,1265,5,61,ShangHai
SNJ01,1503,11,92,NanJing_5
SNJ02,1581,14,66,NanJing_5
SNJ03,1460,12,106,NanJing_5
SNJ04,1872,15,93,NanJing_5
SNJ08,2029,28,137,NanJing_5
SNJ09,2034,26,140,NanJing_5
SNJ10,1847,8,90,NanJing_5
SNJ11,2190,31,139,NanJing_5
SNJ13,2222,18,102,NanJing_5
SNJ14,1884,26,101,NanJing_5
SNJ15,2317,11,85,NanJing_5
SNJ16,1554,13,76,NanJing_5
SNJ19,1609,25,127,NanJing_5
SNJ20,1852,16,122,NanJing_5
CPSNJ01,1334,7,73,NanJing_8
CPSNJ02,1773,11,77,NanJing_8
CPSNJ03,1591,16,117,NanJing_8
CPSNJ04,2401,23,125,NanJing_8
CPSNJ08,1355,12,115,NanJing_8
CPSNJ09,2236,38,155,NanJing_8
CPSNJ10,1940,23,136,NanJing_8
CPSNJ11,1976,41,129,NanJing_8
CPSNJ13,1591,20,107,NanJing_8
CPSNJ14,2132,32,156,NanJing_8
CPSNJ15,1873,9,82,NanJing_8
CPSNJ16,1584,27,112,NanJing_8
CPSNJ19,2038,27,130,NanJing_8
CPSNJ20,1734,30,107,NanJing_8
