MAG	Relative abundance	Sample
cpsnj01_SemiBin_71	0.68142873	cpsnj01
cpsnj01_SemiBin_11	1.3206912	cpsnj01
cpsnj01_SemiBin_24	0.5505527	cpsnj01
cpsnj01_SemiBin_9	1.5194979	cpsnj01
cpsnj01_SemiBin_90	0.55873555	cpsnj01
cpsnj01_SemiBin_146	2.942526	cpsnj01
cpsnj01_SemiBin_409	0.11393061	cpsnj01
cpsnj01_SemiBin_47	0.6857639	cpsnj01
cpsnj01_SemiBin_42	0.66738564	cpsnj01
cpsnj01_SemiBin_92	1.9652272	cpsnj01
cpsnj01_SemiBin_43	0.3942292	cpsnj01
cpsnj01_SemiBin_127	1.2155657	cpsnj01
cpsnj01_SemiBin_95	0.28297856	cpsnj01
cpsnj01_SemiBin_73	0.31009293	cpsnj01
cpsnj01_SemiBin_59	1.0579106	cpsnj01
cpsnj01_SemiBin_115	0.1532669	cpsnj01
cpsnj01_SemiBin_57	0.97134656	cpsnj01
cpsnj01_SemiBin_1234	0.7910559	cpsnj01
cpsnj01_SemiBin_51	1.4217131	cpsnj01
cpsnj01_SemiBin_63	6.9529138	cpsnj01
cpsnj01_SemiBin_1	0.35585785	cpsnj01
cpsnj01_SemiBin_112	0.35739276	cpsnj01
cpsnj01_SemiBin_2	0.38450992	cpsnj01
cpsnj01_SemiBin_7	2.071629	cpsnj01
cpsnj01_SemiBin_65	0.78609383	cpsnj01
cpsnj01_SemiBin_123	0.6289893	cpsnj01
cpsnj01_SemiBin_77	0.2738584	cpsnj01
cpsnj01_SemiBin_10	0.917323	cpsnj01
cpsnj01_SemiBin_399	0.7528409	cpsnj01
cpsnj01_SemiBin_39	0.82659507	cpsnj01
cpsnj01_SemiBin_45	1.254316	cpsnj01
cpsnj01_SemiBin_8	0.47481894	cpsnj01
cpsnj01_SemiBin_6	0.4824594	cpsnj01
cpsnj01_SemiBin_30	0.28041294	cpsnj01
cpsnj01_SemiBin_32	0.48778406	cpsnj01
cpsnj01_SemiBin_61	0.94825727	cpsnj01
cpsnj01_SemiBin_4	0.39403942	cpsnj01
cpsnj01_SemiBin_0	0.5182552	cpsnj01
cpsnj01_SemiBin_38	0.17306451	cpsnj01
cpsnj01_SemiBin_40	1.0529647	cpsnj01
cpsnj01_SemiBin_18	1.1978818	cpsnj01
cpsnj01_SemiBin_286	0.47518784	cpsnj01
cpsnj01_SemiBin_208	0.36767223	cpsnj01
cpsnj01_SemiBin_110	1.0921134	cpsnj01
cpsnj01_SemiBin_5	0.41349128	cpsnj01
cpsnj01_SemiBin_83	1.4999529	cpsnj01
cpsnj01_SemiBin_124	0.5991317	cpsnj01
cpsnj01_SemiBin_82	0.26313433	cpsnj01
cpsnj01_SemiBin_37	0.9797543	cpsnj01
cpsnj01_SemiBin_20	2.1623132	cpsnj01
cpsnj01_SemiBin_275	0.16839471	cpsnj01
cpsnj01_SemiBin_16	1.4925122	cpsnj01
cpsnj01_SemiBin_156	0.5662082	cpsnj01
cpsnj01_SemiBin_54	1.3749053	cpsnj01
cpsnj01_SemiBin_28	2.3245583	cpsnj01
cpsnj01_SemiBin_56	0.28181252	cpsnj01
cpsnj01_SemiBin_22	0.3829525	cpsnj01
cpsnj01_SemiBin_64	0.22656858	cpsnj01
cpsnj01_SemiBin_17	0.42799082	cpsnj01
cpsnj01_SemiBin_26	0.9165433	cpsnj01
cpsnj01_SemiBin_52	0.6567879	cpsnj01
cpsnj01_SemiBin_48	0.60796475	cpsnj01
cpsnj01_SemiBin_87	0.1708223	cpsnj01
cpsnj01_SemiBin_62	1.4071641	cpsnj01
cpsnj01_SemiBin_66	0.767589	cpsnj01
cpsnj01_SemiBin_14	1.0734243	cpsnj01
cpsnj01_SemiBin_1263	0.59114105	cpsnj01
cpsnj01_SemiBin_118	1.1812316	cpsnj01
cpsnj01_SemiBin_12	0.58177245	cpsnj01
cpsnj01_SemiBin_49	0.5168486	cpsnj01
cpsnj01_SemiBin_21	0.52963454	cpsnj01
cpsnj01_SemiBin_85	0.23454556	cpsnj01
cpsnj01_SemiBin_25	1.701946	cpsnj01
cpsnj01_SemiBin_15	0.73538536	cpsnj01
cpsnj01_SemiBin_23	0.36667114	cpsnj01
cpsnj01_SemiBin_19	0.3434306	cpsnj01
cpsnj01_SemiBin_29	0.5707163	cpsnj01
cpsnj01_SemiBin_35	0.26035923	cpsnj01
cpsnj01_SemiBin_1216	1.2714648	cpsnj01
cpsnj01_SemiBin_34	1.0954014	cpsnj01
cpsnj02_SemiBin_22	1.0262831	cpsnj02
cpsnj02_SemiBin_7	0.7839003	cpsnj02
cpsnj02_SemiBin_213	0.46356097	cpsnj02
cpsnj02_SemiBin_26	1.0037516	cpsnj02
cpsnj02_SemiBin_63	0.50543505	cpsnj02
cpsnj02_SemiBin_47	0.28133544	cpsnj02
cpsnj02_SemiBin_165	0.7384132	cpsnj02
cpsnj02_SemiBin_1670	1.1053947	cpsnj02
cpsnj02_SemiBin_61	0.5912122	cpsnj02
cpsnj02_SemiBin_638	0.5859478	cpsnj02
cpsnj02_SemiBin_132	0.2171106	cpsnj02
cpsnj02_SemiBin_66	1.0023445	cpsnj02
cpsnj02_SemiBin_33	0.16681726	cpsnj02
cpsnj02_SemiBin_17	0.31934643	cpsnj02
cpsnj02_SemiBin_1629	0.77158403	cpsnj02
cpsnj02_SemiBin_18	0.7492728	cpsnj02
cpsnj02_SemiBin_109	0.6245051	cpsnj02
cpsnj02_SemiBin_55	1.0727041	cpsnj02
cpsnj02_SemiBin_112	0.46006557	cpsnj02
cpsnj02_SemiBin_44	0.54422385	cpsnj02
cpsnj02_SemiBin_97	0.9864094	cpsnj02
cpsnj02_SemiBin_99	0.7374752	cpsnj02
cpsnj02_SemiBin_1731	0.85168236	cpsnj02
cpsnj02_SemiBin_206	1.9193405	cpsnj02
cpsnj02_SemiBin_71	0.28884745	cpsnj02
cpsnj02_SemiBin_94	2.3022542	cpsnj02
cpsnj02_SemiBin_64	0.24144547	cpsnj02
cpsnj02_SemiBin_43	1.0268022	cpsnj02
cpsnj02_SemiBin_1	1.035839	cpsnj02
cpsnj02_SemiBin_0	1.6233962	cpsnj02
cpsnj02_SemiBin_14	0.6248634	cpsnj02
cpsnj02_SemiBin_38	0.77978307	cpsnj02
cpsnj02_SemiBin_59	0.47126985	cpsnj02
cpsnj02_SemiBin_24	0.12321588	cpsnj02
cpsnj02_SemiBin_5	0.5766985	cpsnj02
cpsnj02_SemiBin_31	0.93640256	cpsnj02
cpsnj02_SemiBin_111	1.4416782	cpsnj02
cpsnj02_SemiBin_3	0.32498202	cpsnj02
cpsnj02_SemiBin_102	0.34676504	cpsnj02
cpsnj02_SemiBin_88	1.3050573	cpsnj02
cpsnj02_SemiBin_2	1.011545	cpsnj02
cpsnj02_SemiBin_56	1.0945714	cpsnj02
cpsnj02_SemiBin_28	0.3869643	cpsnj02
cpsnj02_SemiBin_12	1.6606598	cpsnj02
cpsnj02_SemiBin_4	0.45152712	cpsnj02
cpsnj02_SemiBin_68	0.23544009	cpsnj02
cpsnj02_SemiBin_126	0.15351017	cpsnj02
cpsnj02_SemiBin_10	0.5665642	cpsnj02
cpsnj02_SemiBin_20	0.88438207	cpsnj02
cpsnj02_SemiBin_40	0.5242397	cpsnj02
cpsnj02_SemiBin_159	0.33654004	cpsnj02
cpsnj02_SemiBin_35	0.76664513	cpsnj02
cpsnj02_SemiBin_135	0.3088786	cpsnj02
cpsnj02_SemiBin_16	0.24343091	cpsnj02
cpsnj02_SemiBin_36	0.65783757	cpsnj02
cpsnj02_SemiBin_46	0.9597511	cpsnj02
cpsnj02_SemiBin_15	0.31274453	cpsnj02
cpsnj02_SemiBin_69	0.3302133	cpsnj02
cpsnj02_SemiBin_80	0.27932882	cpsnj02
cpsnj02_SemiBin_39	1.639589	cpsnj02
cpsnj02_SemiBin_27	0.52607024	cpsnj02
cpsnj02_SemiBin_8	0.46984679	cpsnj02
cpsnj02_SemiBin_21	0.4437243	cpsnj02
cpsnj02_SemiBin_25	0.7484336	cpsnj02
cpsnj02_SemiBin_11	1.1959696	cpsnj02
cpsnj02_SemiBin_138	1.4398843	cpsnj02
cpsnj02_SemiBin_13	0.84154314	cpsnj02
cpsnj02_SemiBin_60	1.8750472	cpsnj02
cpsnj02_SemiBin_137	0.7925218	cpsnj02
cpsnj02_SemiBin_23	0.9742642	cpsnj02
cpsnj02_SemiBin_30	0.5146434	cpsnj02
cpsnj02_SemiBin_9	0.71764445	cpsnj02
cpsnj02_SemiBin_104	0.38817787	cpsnj02
cpsnj02_SemiBin_81	1.0878968	cpsnj02
cpsnj02_SemiBin_78	1.2881283	cpsnj02
cpsnj02_SemiBin_42	1.3755614	cpsnj02
cpsnj02_SemiBin_54	1.4780248	cpsnj02
cpsnj02_SemiBin_146	0.3787188	cpsnj02
cpsnj02_SemiBin_29	1.2427794	cpsnj02
cpsnj02_SemiBin_1617	0.25278515	cpsnj02
cpsnj02_SemiBin_45	0.38245988	cpsnj02
cpsnj02_SemiBin_34	0.94312036	cpsnj02
cpsnj02_SemiBin_107	1.0564214	cpsnj02
cpsnj02_SemiBin_74	1.0526632	cpsnj02
cpsnj02_SemiBin_37	0.53614116	cpsnj02
cpsnj02_SemiBin_106	0.989284	cpsnj02
cpsnj02_SemiBin_76	0.15254982	cpsnj02
cpsnj02_SemiBin_256	0.8645505	cpsnj02
cpsnj03_SemiBin_14	0.71601534	cpsnj03
cpsnj03_SemiBin_20	0.5761579	cpsnj03
cpsnj03_SemiBin_237	1.0740906	cpsnj03
cpsnj03_SemiBin_27	0.24450904	cpsnj03
cpsnj03_SemiBin_78	0.6849495	cpsnj03
cpsnj03_SemiBin_19	0.44625655	cpsnj03
cpsnj03_SemiBin_132	0.5484266	cpsnj03
cpsnj03_SemiBin_18	0.6418764	cpsnj03
cpsnj03_SemiBin_6	0.9685215	cpsnj03
cpsnj03_SemiBin_53	0.5443683	cpsnj03
cpsnj03_SemiBin_264	1.3530458	cpsnj03
cpsnj03_SemiBin_52	0.2861793	cpsnj03
cpsnj03_SemiBin_165	0.56104	cpsnj03
cpsnj03_SemiBin_88	0.5225706	cpsnj03
cpsnj03_SemiBin_38	1.4317322	cpsnj03
cpsnj03_SemiBin_26	0.9192943	cpsnj03
cpsnj03_SemiBin_205	0.1495101	cpsnj03
cpsnj03_SemiBin_217	1.080083	cpsnj03
cpsnj03_SemiBin_45	0.6810644	cpsnj03
cpsnj03_SemiBin_9	0.40293887	cpsnj03
cpsnj03_SemiBin_91	0.20813155	cpsnj03
cpsnj03_SemiBin_108	0.50034994	cpsnj03
cpsnj03_SemiBin_58	0.1691271	cpsnj03
cpsnj03_SemiBin_62	0.25764963	cpsnj03
cpsnj03_SemiBin_12	1.1388167	cpsnj03
cpsnj03_SemiBin_111	0.1858885	cpsnj03
cpsnj03_SemiBin_48	0.6229128	cpsnj03
cpsnj03_SemiBin_154	0.71076506	cpsnj03
cpsnj03_SemiBin_65	0.3425193	cpsnj03
cpsnj03_SemiBin_114	0.1902353	cpsnj03
cpsnj03_SemiBin_16	0.2554941	cpsnj03
cpsnj03_SemiBin_31	0.20407054	cpsnj03
cpsnj03_SemiBin_37	0.5828924	cpsnj03
cpsnj03_SemiBin_15	0.16245207	cpsnj03
cpsnj03_SemiBin_75	0.18580142	cpsnj03
cpsnj03_SemiBin_63	0.40108323	cpsnj03
cpsnj03_SemiBin_107	0.9468076	cpsnj03
cpsnj03_SemiBin_79	0.86011326	cpsnj03
cpsnj03_SemiBin_113	0.6754761	cpsnj03
cpsnj03_SemiBin_166	0.81024736	cpsnj03
cpsnj03_SemiBin_189	0.42720053	cpsnj03
cpsnj03_SemiBin_283	0.6271451	cpsnj03
cpsnj03_SemiBin_54	0.7949138	cpsnj03
cpsnj03_SemiBin_142	0.49466217	cpsnj03
cpsnj03_SemiBin_33	0.4740781	cpsnj03
cpsnj03_SemiBin_40	0.6791985	cpsnj03
cpsnj03_SemiBin_64	0.6542063	cpsnj03
cpsnj03_SemiBin_1486	0.73709834	cpsnj03
cpsnj03_SemiBin_80	0.5064907	cpsnj03
cpsnj03_SemiBin_44	0.7494586	cpsnj03
cpsnj03_SemiBin_93	0.89395165	cpsnj03
cpsnj03_SemiBin_47	0.5378726	cpsnj03
cpsnj03_SemiBin_84	0.723424	cpsnj03
cpsnj03_SemiBin_55	0.3376287	cpsnj03
cpsnj03_SemiBin_191	0.43060374	cpsnj03
cpsnj03_SemiBin_106	1.0630069	cpsnj03
cpsnj03_SemiBin_83	0.6197781	cpsnj03
cpsnj03_SemiBin_144	0.5299624	cpsnj03
cpsnj03_SemiBin_82	0.37446427	cpsnj03
cpsnj03_SemiBin_101	0.3344521	cpsnj03
cpsnj03_SemiBin_641	0.36637384	cpsnj03
cpsnj03_SemiBin_23	0.3711614	cpsnj03
cpsnj03_SemiBin_30	0.2947485	cpsnj03
cpsnj03_SemiBin_49	1.4843258	cpsnj03
cpsnj03_SemiBin_51	0.41839382	cpsnj03
