mapping rate,target
72.25,contigs
60.2,contigs
65.74,contigs
65.99,contigs
59.71,contigs
70.15,contigs
73.93,contigs
66.61,contigs
68.05,contigs
68.39,contigs
65.44,contigs
59.97,contigs
74.18,contigs
62.89,contigs
70.81,contigs
69.25,contigs
67.63,contigs
74.29,contigs
66.53,contigs
69.18,contigs
62.29,contigs
64.65,contigs
61.5,contigs
65.5,contigs
67.65,contigs
65.25,contigs
66.1,contigs
66.56,contigs
62.96,contigs
64.51,contigs
61.74,contigs
56.54,contigs
62.24,contigs
58.35,contigs
64.39,contigs
66.3,contigs
57.4,contigs
66.51,contigs
62.15,contigs
62.46,contigs
59.27,contigs
55.44,contigs
63.21,contigs
61.03,contigs
63.79,contigs
57.66,contigs
63.89,contigs
63,contigs
64.97,contigs
72.49,contigs
66.62,contigs
71.05,contigs
64.18,contigs
67.78,contigs
55.18,contigs
64.19,contigs
67.41,contigs
59.34,contigs
41.25,MAGs
29.8,MAGs
29.82,MAGs
33.99,MAGs
34.78,MAGs
42.03,MAGs
47.01,MAGs
22.37,MAGs
22.56,MAGs
25.08,MAGs
23.85,MAGs
23.19,MAGs
45.39,MAGs
27.26,MAGs
40.98,MAGs
39.99,MAGs
40.95,MAGs
51.83,MAGs
41.14,MAGs
46.37,MAGs
35.97,MAGs
42.91,MAGs
35.12,MAGs
32.3,MAGs
41.09,MAGs
36.12,MAGs
34.85,MAGs
35.03,MAGs
41.45,MAGs
26.17,MAGs
30.01,MAGs
24.79,MAGs
34.42,MAGs
26.49,MAGs
36.74,MAGs
37.5,MAGs
26.87,MAGs
37.1,MAGs
29.82,MAGs
32.95,MAGs
25.43,MAGs
26.64,MAGs
36.54,MAGs
30.48,MAGs
28.57,MAGs
26.48,MAGs
36.87,MAGs
34.56,MAGs
34.83,MAGs
42.53,MAGs
37.92,MAGs
43.13,MAGs
36.86,MAGs
41.24,MAGs
25.17,MAGs
37.49,MAGs
38.58,MAGs
31.7,MAGs
