Sample,Site
CPSNJ01_350,NanJing_5
CPSNJ02_350,NanJing_5
CPSNJ03_350,NanJing_5
CPSNJ04_350,NanJing_5
CPSNJ08_350,NanJing_5
CPSNJ09_350,NanJing_5
CPSNJ10_350,NanJing_5
CPSNJ11_350,NanJing_5
CPSNJ13_350,NanJing_5
CPSNJ14_350,NanJing_5
CPSNJ15_350,NanJing_5
CPSNJ16_350,NanJing_5
CPSNJ19_350,NanJing_5
CPSNJ20_350,NanJing_5
10_350,ShangHai
11_350,ShangHai
12_350,ShangHai
13_350,ShangHai
14_350,ShangHai
15_350,ShangHai
16_350,ShangHai
17_350,ShangHai
18_350,ShangHai
19_350,ShangHai
1_350,ShangHai
20_350,ShangHai
21_350,ShangHai
22_350,ShangHai
23_350,ShangHai
24_350,ShangHai
25_350,ShangHai
26_350,ShangHai
27_350,ShangHai
28_350,ShangHai
29_350,ShangHai
2_350,ShangHai
30_350,ShangHai
3_350,ShangHai
4_350,ShangHai
5_350,ShangHai
6_350,ShangHai
7_350,ShangHai
8_350,ShangHai
9_350,ShangHai
SNJ01_350,NanJing_8
SNJ02_350,NanJing_8
SNJ03_350,NanJing_8
SNJ04_350,NanJing_8
SNJ08_350,NanJing_8
SNJ09_350,NanJing_8
SNJ10_350,NanJing_8
SNJ11_350,NanJing_8
SNJ13_350,NanJing_8
SNJ14_350,NanJing_8
SNJ15_350,NanJing_8
SNJ16_350,NanJing_8
SNJ19_350,NanJing_8
SNJ20_350,NanJing_8
