p__Pseudomonadota	26
p__Gemmatimonadota	8
p__Nitrospirota	3
p__Acidobacteriota	22
p__Bacteroidota	10
p__Actinomycetota	26
p__Desulfobacterota_B	10
p__Chloroflexota	15
p__Myxococcota	15
p__Methylomirabilota	4
p__Eisenbacteria	2
p__Planctomycetota	7
p__UBA10199	5
p__Verrucomicrobiota	11
p__Myxococcota_A	5
p__Krumholzibacteriota	2
p__Tectomicrobia	3
p__ARS69	4
p__CSP1-3	1
p__Desulfobacterota_D	3
p__Cyanobacteriota	2
p__Armatimonadota	3
p__Patescibacteria	8
p__Desulfobacterota_E	2
p__JABDJQ01	1
p__Desulfobacterota_F	2
p__KSB1	1
p__Zixibacteria	1
p__Chlamydiota	1
p__Desulfobacterota	1
p__Elusimicrobiota	1
p__JAGRBM01	1
