identifier,Mag ID
USMAG_0000,sample29_SemiBin_2
USMAG_0001,cpsnj11_SemiBin_15
USMAG_0002,snj11_SemiBin_6
USMAG_0003,sample18_SemiBin_9
USMAG_0004,snj04_SemiBin_2
USMAG_0005,cpsnj20_SemiBin_9
USMAG_0006,sample13_SemiBin_66
USMAG_0007,sample22_SemiBin_8
USMAG_0008,sample1_SemiBin_4
USMAG_0009,sample29_SemiBin_13
USMAG_0010,cpsnj08_SemiBin_0
USMAG_0011,snj08_SemiBin_7
USMAG_0012,sample16_SemiBin_4
USMAG_0013,cpsnj11_SemiBin_6
USMAG_0014,cpsnj13_SemiBin_4
USMAG_0015,snj14_SemiBin_6
USMAG_0016,cpsnj09_SemiBin_4
USMAG_0017,cpsnj11_SemiBin_4
USMAG_0018,sample22_SemiBin_1
USMAG_0019,sample26_SemiBin_0
USMAG_0020,sample1_SemiBin_104
USMAG_0021,cpsnj14_SemiBin_12
USMAG_0022,cpsnj01_SemiBin_1
USMAG_0023,sample6_SemiBin_3
USMAG_0024,cpsnj11_SemiBin_7
USMAG_0025,cpsnj03_SemiBin_7
USMAG_0026,snj11_SemiBin_8
USMAG_0027,snj03_SemiBin_1
USMAG_0028,cpsnj10_SemiBin_5
USMAG_0029,snj09_SemiBin_3
USMAG_0030,snj20_SemiBin_3
USMAG_0031,sample13_SemiBin_10
USMAG_0032,snj11_SemiBin_0
USMAG_0033,snj13_SemiBin_5
USMAG_0034,sample13_SemiBin_14
USMAG_0035,snj01_SemiBin_3
USMAG_0036,sample18_SemiBin_41
USMAG_0037,cpsnj16_SemiBin_10
USMAG_0038,sample18_SemiBin_16
USMAG_0039,sample20_SemiBin_46
USMAG_0040,snj14_SemiBin_2
USMAG_0041,snj19_SemiBin_10
USMAG_0042,cpsnj20_SemiBin_2
USMAG_0043,snj09_SemiBin_7
USMAG_0044,cpsnj10_SemiBin_10
USMAG_0045,cpsnj16_SemiBin_7
USMAG_0046,sample18_SemiBin_7
USMAG_0047,snj14_SemiBin_4
USMAG_0048,sample18_SemiBin_18
USMAG_0049,cpsnj20_SemiBin_4
USMAG_0050,sample29_SemiBin_7
USMAG_0051,snj11_SemiBin_90
USMAG_0052,sample9_SemiBin_59
USMAG_0053,sample13_SemiBin_2
USMAG_0054,snj10_SemiBin_2
USMAG_0055,sample23_SemiBin_9
USMAG_0056,sample21_SemiBin_2
USMAG_0057,snj11_SemiBin_2
USMAG_0058,cpsnj11_SemiBin_11
USMAG_0059,snj08_SemiBin_3
USMAG_0060,cpsnj16_SemiBin_8
USMAG_0061,sample18_SemiBin_50
USMAG_0062,snj19_SemiBin_18
USMAG_0063,sample13_SemiBin_89
USMAG_0064,snj08_SemiBin_22
USMAG_0065,cpsnj16_SemiBin_6
USMAG_0066,cpsnj09_SemiBin_10
USMAG_0067,cpsnj14_SemiBin_19
USMAG_0068,snj09_SemiBin_2
USMAG_0069,sample29_SemiBin_6
USMAG_0070,snj13_SemiBin_1
USMAG_0071,sample20_SemiBin_88
USMAG_0072,cpsnj20_SemiBin_12
USMAG_0073,snj08_SemiBin_6
USMAG_0074,snj19_SemiBin_9
USMAG_0075,cpsnj13_SemiBin_5
USMAG_0076,sample23_SemiBin_5
USMAG_0077,cpsnj15_SemiBin_47
USMAG_0078,sample20_SemiBin_5
USMAG_0079,cpsnj14_SemiBin_11
USMAG_0080,sample6_SemiBin_21
USMAG_0081,cpsnj19_SemiBin_2
USMAG_0082,sample18_SemiBin_83
USMAG_0083,cpsnj10_SemiBin_85
USMAG_0084,sample20_SemiBin_4
USMAG_0085,sample29_SemiBin_27
USMAG_0086,snj19_SemiBin_5
USMAG_0087,cpsnj09_SemiBin_7
USMAG_0088,cpsnj19_SemiBin_81
USMAG_0089,cpsnj08_SemiBin_1
USMAG_0090,cpsnj19_SemiBin_8
USMAG_0091,sample1_SemiBin_32
USMAG_0092,cpsnj09_SemiBin_14
USMAG_0093,sample16_SemiBin_37
USMAG_0094,snj09_SemiBin_19
USMAG_0095,snj11_SemiBin_13
USMAG_0096,sample1_SemiBin_13
USMAG_0097,sample1_SemiBin_35
USMAG_0098,sample7_SemiBin_17
USMAG_0099,sample26_SemiBin_61
USMAG_0100,sample2_SemiBin_41
USMAG_0101,cpsnj20_SemiBin_1
USMAG_0102,sample16_SemiBin_3
USMAG_0103,snj16_SemiBin_3
USMAG_0104,sample25_SemiBin_12
USMAG_0105,sample17_SemiBin_9
USMAG_0106,cpsnj13_SemiBin_1
USMAG_0107,sample21_SemiBin_1
USMAG_0108,snj10_SemiBin_6
USMAG_0109,cpsnj13_SemiBin_10
USMAG_0110,snj02_SemiBin_11
USMAG_0111,cpsnj01_SemiBin_0
USMAG_0112,sample29_SemiBin_8
USMAG_0113,snj14_SemiBin_3
USMAG_0114,sample7_SemiBin_9
