Sample	Number of ARO in MAGs	Number of ARO in contigs	Site
cpsnj01	12	29	Nanjing_8
cpsnj02	10	32	Nanjing_8
cpsnj03	16	23	Nanjing_8
cpsnj04	14	28	Nanjing_8
cpsnj08	18	23	Nanjing_8
cpsnj09	21	24	Nanjing_8
cpsnj10	15	25	Nanjing_8
cpsnj11	16	23	Nanjing_8
cpsnj13	18	21	Nanjing_8
cpsnj14	14	22	Nanjing_8
cpsnj15	13	23	Nanjing_8
cpsnj16	17	22	Nanjing_8
cpsnj19	20	26	Nanjing_8
cpsnj20	23	24	Nanjing_8
snj01	23	28	Nanjing_5
snj02	14	22	Nanjing_5
snj03	19	18	Nanjing_5
snj04	13	28	Nanjing_5
snj08	16	24	Nanjing_5
snj09	16	24	Nanjing_5
snj10	12	23	Nanjing_5
snj11	16	21	Nanjing_5
snj13	18	21	Nanjing_5
snj14	17	22	Nanjing_5
snj15	15	23	Nanjing_5
snj16	12	23	Nanjing_5
snj19	17	19	Nanjing_5
snj20	17	29	Nanjing_5
sample10	9	18	Shanghai
sample11	11	21	Shanghai
sample12	8	16	Shanghai
sample13	14	16	Shanghai
sample14	11	24	Shanghai
sample15	19	24	Shanghai
sample16	17	22	Shanghai
sample17	12	21	Shanghai
sample18	16	18	Shanghai
sample19	15	22	Shanghai
sample1	20	23	Shanghai
sample20	16	19	Shanghai
sample21	12	21	Shanghai
sample22	15	22	Shanghai
sample23	15	25	Shanghai
sample24	18	22	Shanghai
sample25	16	20	Shanghai
sample26	16	25	Shanghai
sample27	18	21	Shanghai
sample28	14	26	Shanghai
sample29	16	22	Shanghai
sample2	17	22	Shanghai
sample30	13	19	Shanghai
sample3	15	19	Shanghai
sample4	16	22	Shanghai
sample5	15	22	Shanghai
sample6	23	24	Shanghai
sample7	18	25	Shanghai
sample8	11	24	Shanghai
sample9	15	23	Shanghai
