sample,site
s1,ShangHai
s2,ShangHai
s3,ShangHai
s4,ShangHai
s5,ShangHai
s6,ShangHai
s7,ShangHai
s8,ShangHai
s9,ShangHai
s10,ShangHai
s11,ShangHai
s12,ShangHai
s13,ShangHai
s14,ShangHai
s15,ShangHai
s16,ShangHai
s17,ShangHai
s18,ShangHai
s19,ShangHai
s20,ShangHai
s21,ShangHai
s22,ShangHai
s23,ShangHai
s24,ShangHai
s25,ShangHai
s26,ShangHai
s27,ShangHai
s28,ShangHai
s29,ShangHai
s30,ShangHai
SNJ01,NanJing_5
SNJ02,NanJing_5
SNJ03,NanJing_5
SNJ04,NanJing_5
SNJ08,NanJing_5
SNJ09,NanJing_5
SNJ10,NanJing_5
SNJ11,NanJing_5
SNJ13,NanJing_5
SNJ14,NanJing_5
SNJ15,NanJing_5
SNJ16,NanJing_5
SNJ19,NanJing_5
SNJ20,NanJing_5
CPSNJ01,NanJing_8
CPSNJ02,NanJing_8
CPSNJ03,NanJing_8
CPSNJ04,NanJing_8
CPSNJ08,NanJing_8
CPSNJ09,NanJing_8
CPSNJ10,NanJing_8
CPSNJ11,NanJing_8
CPSNJ13,NanJing_8
CPSNJ14,NanJing_8
CPSNJ15,NanJing_8
CPSNJ16,NanJing_8
CPSNJ19,NanJing_8
CPSNJ20,NanJing_8
