taxonomy,Planctomycetota,Acidobacteriota,Pseudomonadota,Actinomycetota,Chloroflexota,Myxococcota,Gemmatimonadota,Verrucomicrobiota,Other
SH_FDU_1,9.18,20.2,22.18,9.45,6.67,3.48,3.04,3.99,21.82
SH_FDU_2,7.49,24.56,20.94,11.88,5.41,3.32,3.85,3.86,18.73
SH_FDU_3,9.53,25.37,21.16,4.77,3.58,3.07,4.15,3.87,24.53
SH_FDU_4,9.46,25.44,20.58,4.55,3.71,3.01,4.04,4.12,25.06
SH_FDU_5,7.17,25.49,21.47,11.39,4.38,2.34,5.22,5.35,17.19
SH_FDU_6,7.06,24.97,22.37,14.05,5.58,3.65,2.52,3.17,16.68
SH_FDU_7,7.73,25.65,20.28,9.65,4.76,2.9,3.9,3.84,21.3
SH_FDU_8,8.49,22.25,19.83,7.24,4.36,3.33,3.7,3.97,26.82
SH_FDU_9,6.12,22.33,20.61,17.3,5.96,2.63,3.77,4.38,16.91
SH_GQP_1,8.24,26.4,20.74,2.84,3.82,3,5.01,2.87,27.09
SH_GQP_2,6.26,25.05,24.67,5.62,5.61,3.88,3.63,2.87,22.43
SH_GQP_3,6.36,23.01,25.51,5.66,6.23,3.7,3.8,2.77,22.94
SH_GQP_4,6.85,22.16,22.36,3.88,6.04,3.35,6.09,2.84,26.48
SH_GQP_5,6.51,17.96,29.13,14.93,5.36,3.74,2.94,4.31,15.08
SH_GQP_6,7.31,22.46,21.6,8.79,5.2,3.62,5.15,3.44,22.44
SH_GQP_7,8.92,25.54,18.87,5.38,4.8,3.44,5.08,3.42,24.57
SH_GQP_8,7.98,22.22,22.69,4.09,6.42,2.71,4.61,2.01,27.3
SH_GQP_9,10.18,25.05,21.18,2.85,4.06,4.37,7.12,3.95,21.22
SH_HXP_1,5.41,20.66,27.41,4.08,6.4,3.64,7.61,2.39,22.4
SH_HXP_2,7.75,26.95,21.95,5.08,4.65,4.47,4.04,4.35,20.82
SH_HXP_3,7.15,23.13,26.63,5.54,4.89,4.47,4.26,4.48,19.43
SH_HXP_4,6.38,23.7,21.75,10.62,5.86,3.83,4.26,3.64,19.93
SH_SJP_1,6.92,19.68,32.17,5.94,2.99,4.16,3.19,5.65,19.31
SH_SJP_2,4.49,21.17,19.22,27.05,7.36,2.78,2.83,2.03,13.07
SH_SJP_3,7.02,23.78,21.77,8.4,6.21,3.11,3.86,2.86,22.98
SH_SJP_4,6.45,21.42,24.25,12.79,5.51,3.44,3.37,2.84,19.95
SH_SJP_5,6.5,20.65,27.61,9.79,6.24,5.3,2.3,4.06,17.53
SH_SJP_6,5.46,19.27,24.96,21.88,6.23,4.25,1.78,4.23,12
SH_SJP_7,7.2,19.33,17.86,6.79,9.19,3.81,6.84,3.02,25.96
SH_SJP_8,5.68,21.92,28.79,9.08,6.16,4.04,3.31,3,18
NJ_NAU_1_M,4.82,18.72,28.11,23.03,3.19,2.99,3.14,3.8,12.2
NJ_NAU_1_A,5.86,17.94,32.77,19.94,4.51,3.44,2.51,2.63,10.4
NJ_NAU_2_M,4.43,22.7,26.57,15.64,5.97,3.44,4.61,2.1,14.54
NJ_NAU_2_A,4.38,22.9,29.72,8.77,5.89,4.19,5.35,2.47,16.35
NJ_NAU_3_M,6.11,28.03,21.59,14.83,5,2.98,4.76,2.37,14.35
NJ_NAU_3_A,7.35,27.01,22.64,8.04,4.42,5.79,4.38,3.63,16.72
NJ_NAU_4_M,5.41,22.51,27.15,10.83,4.9,3.54,3.77,3.41,18.49
NJ_NAU_4_A,5.83,23.7,28.14,6.74,4.57,4.51,4.85,3.45,18.2
NJ_SYSM_1_M,6.24,24.86,29.28,7.59,3.33,4.27,3.78,3.76,16.88
NJ_SYSM_1_A,6.6,23.9,23.32,12.03,5.03,4.52,3.04,3.32,18.27
NJ_SYSM_2_M,4.49,24.04,24.06,11.38,3.27,3.99,2.61,10.17,16
NJ_SYSM_2_A,6.74,27.74,20.43,6.05,2.19,4.04,2.12,8.16,22.54
NJ_SYSM_3_M,5.14,24.23,29.2,12.02,3.2,3.15,3.31,4.09,15.67
NJ_SYSM_3_A,7.72,22.54,28.16,7.28,2.27,3.89,2,6.75,19.39
NJ_SYSM_4_M,6,28.38,23.83,11.78,2.85,4.03,3.02,4.66,15.4
NJ_SYSM_4_A,6.83,28.87,25.14,8.37,2.73,4.03,2.06,4.12,17.87
NJ_SYSM_5_M,7.4,19.5,33.89,6.58,2.33,5.87,3,5.27,16.14
NJ_SYSM_5_A,7.01,24,23.43,5.06,3.22,4.57,2.74,8.44,21.52
NJ_SYSM_6_M,7.2,23.16,30.35,7.17,3.18,4.97,2.96,4.95,16.07
NJ_SYSM_6_A,9.56,24.2,29.79,3.99,2.34,4.28,2.18,4.35,19.33
NJ_SYSM_7_M,6.97,23.13,25,6.1,5.81,4.98,3.78,4.81,19.4
NJ_SYSM_7_A,7.11,22.01,30.24,7.74,4.18,4.45,2.91,3.5,17.88
NJ_SYSM_8_M,5.03,19.37,34.3,10.25,3.42,5.3,3.85,3.68,14.8
NJ_SYSM_8_A,7.9,23.12,29.07,6.73,2.81,4.55,2.77,4.66,18.38
NJ_SYSM_9_M,6.17,27,21.87,13.58,5.96,3.06,3.61,3.68,15.07
NJ_SYSM_9_A,5.71,26.45,19.85,13.18,7.28,4.24,3.37,3.24,16.68
NJ_SYSM_10_M,4.6,22.77,30.98,11.87,3.66,3.68,4.53,3.13,14.78
NJ_SYSM_10_A,3.85,19.51,32.14,10.83,5.49,3.44,6.22,3.5,15.01
