Supplementary Data 1. Detailed information about the soil metagenomes used to reconstruct metagenome-assembled genomes(MAGs).  ,,,,,,,,,,,,,
Sample,user_genome,mag_num,Project,Source,Nation,Continent,Ecosystem,Paired_seqs,Lat,Lon,Bioproject,Biosample,Depth
BL1_EDME210000091,BL1bin,14,Europe,In-house Data,Belgium,Europe,Forest,116863493,50.86,4.72,PRJNA983538,SAMN35729406,0-20 cm
BL2_EDME210000092,BL2bin,17,Europe,In-house Data,Belgium,Europe,Forest,116422300,50.86,4.72,PRJNA983538,SAMN35729407,0-20 cm
BL3_EDME210000093,BL3bin,15,Europe,In-house Data,Belgium,Europe,Grassland,105333569,50.87,4.71,PRJNA983538,SAMN35729408,0-20 cm
China_S1,S1rebin,6,China2018,In-house Data,China,Asia,Agricultural Land,184365852,34.76777778,111.7691667,PRJNA983538,SAMN35729560,0-20 cm
China_S10,S10rbin,6,China2018,In-house Data,China,Asia,Wetland,136582694,34.64333333,113.5705556,PRJNA983538,SAMN35729561,0-20 cm
China_S107,S107bin,0,China2018,In-house Data,China,Asia,Forest,145169792,22.43416667,113.5175,PRJNA983538,SAMN35729562,0-20 cm
China_S108,S108bin,17,China2018,In-house Data,China,Asia,Agricultural Land,156486246,22.3675,113.5805556,PRJNA983538,SAMN35729563,0-20 cm
China_S109,S109bin,6,China2018,In-house Data,China,Asia,Agricultural Land,138546542,25.21662222,110.2520361,PRJNA983538,SAMN35729564,0-20 cm
China_S11,S11rbin,8,China2018,In-house Data,China,Asia,Agricultural Land,138360154,34.55472222,113.4830556,PRJNA983538,SAMN35729565,0-20 cm
China_S112,S112bin,9,China2018,In-house Data,China,Asia,Agricultural Land,135256120,25.07,110.3058333,PRJNA983538,SAMN35729566,0-20 cm
China_S113,S113bin,15,China2018,In-house Data,China,Asia,Wetland,137701644,25.07333333,110.2930556,PRJNA983538,SAMN35729567,0-20 cm
China_S114,S114bin,8,China2018,In-house Data,China,Asia,Agricultural Land,151902002,25.06888889,110.2833333,PRJNA983538,SAMN35729568,0-20 cm
China_S118,S118bin,51,China2018,In-house Data,China,Asia,Forest,178385206,24.20194444,109.3694444,PRJNA983538,SAMN35729569,0-20 cm
China_S12,S12rbin,33,China2018,In-house Data,China,Asia,Agricultural Land,139435690,34.46194444,113.4388889,PRJNA983538,SAMN35729570,0-20 cm
China_S120,S120bin,12,China2018,In-house Data,China,Asia,Grassland,132225616,24.10416667,109.0902778,PRJNA983538,SAMN35729571,0-20 cm
China_S121,S121bin,2,China2018,In-house Data,China,Asia,Agricultural Land,145901542,24.28361111,109.4077778,PRJNA983538,SAMN35729572,0-20 cm
China_S122,S122bin,9,China2018,In-house Data,China,Asia,Agricultural Land,130339372,22.97777778,108.5777778,PRJNA983538,SAMN35729573,0-20 cm
China_S125,S125bin,20,China2018,In-house Data,China,Asia,Agricultural Land,165560500,22.86527778,108.3375,PRJNA983538,SAMN35729574,0-20 cm
China_S126,S126bin,24,China2018,In-house Data,China,Asia,Agricultural Land,165560500,22.92444444,108.5405556,PRJNA983538,SAMN35729575,0-20 cm
China_S127,S127bin,12,China2018,In-house Data,China,Asia,Agricultural Land,171716270,22.88888889,108.3725,PRJNA983538,SAMN35729576,0-20 cm
China_S128,S128bin,3,China2018,In-house Data,China,Asia,Wetland,148886256,22.92611111,108.3730556,PRJNA983538,SAMN35729577,0-20 cm
China_S129,S129bin,8,China2018,In-house Data,China,Asia,Agricultural Land,149592060,26.32194444,106.1388889,PRJNA983538,SAMN35729578,0-20 cm
China_S13,S13rbin,8,China2018,In-house Data,China,Asia,Grassland,148150312,34.15444444,112.1061111,PRJNA983538,SAMN35729579,0-20 cm
China_S130,S130bin,10,China2018,In-house Data,China,Asia,Forest,134726032,26.32083333,106.1394444,PRJNA983538,SAMN35729580,0-20 cm
China_S132,S132bin,4,China2018,In-house Data,China,Asia,Agricultural Land,144840178,26.30638889,106.1388889,PRJNA983538,SAMN35729581,0-20 cm
China_S134,S134bin,10,China2018,In-house Data,China,Asia,Agricultural Land,137193800,27.04277778,107.0227778,PRJNA983538,SAMN35729582,0-20 cm
China_S135,S135bin,22,China2018,In-house Data,China,Asia,Agricultural Land,150470202,27.04361111,106.9605556,PRJNA983538,SAMN35729583,0-20 cm
China_S136,S136bin,7,China2018,In-house Data,China,Asia,Agricultural Land,126910420,27.04277778,107.0227778,PRJNA983538,SAMN35729584,0-20 cm
China_S137,S137bin,4,China2018,In-house Data,China,Asia,Agricultural Land,144674102,27.0425,107.0227778,PRJNA983538,SAMN35729585,0-20 cm
China_S139,S139bin,7,China2018,In-house Data,China,Asia,Agricultural Land,162405916,25.81277778,107.1766667,PRJNA983538,SAMN35729586,0-20 cm
China_S14,S14rbin,13,China2018,In-house Data,China,Asia,Agricultural Land,145427474,34.13277778,112.0888889,PRJNA983538,SAMN35729587,0-20 cm
China_S140,S140bin,18,China2018,In-house Data,China,Asia,Agricultural Land,169095698,25.805,107.1752778,PRJNA983538,SAMN35729588,0-20 cm
China_S141,S141bin,36,China2018,In-house Data,China,Asia,Agricultural Land,148508238,25.86194444,107.1297222,PRJNA983538,SAMN35729589,0-20 cm
China_S142,S142bin,5,China2018,In-house Data,China,Asia,Grassland,193499634,25.80444444,107.1847222,PRJNA983538,SAMN35729590,0-20 cm
China_S143,S143bin,37,China2018,In-house Data,China,Asia,Agricultural Land,178029642,25.84944444,107.1669444,PRJNA983538,SAMN35729591,0-20 cm
China_S145,S145bin,1,China2018,In-house Data,China,Asia,Agricultural Land,165872580,20.03444444,110.3377778,PRJNA983538,SAMN35729592,0-20 cm
China_S155,S155bin,2,China2018,In-house Data,China,Asia,Forest,172516830,18.33722222,109.4611111,PRJNA983538,SAMN35729593,0-20 cm
China_S16,S16rbin,17,China2018,In-house Data,China,Asia,Forest,146567704,34.24222222,112.2030556,PRJNA983538,SAMN35729594,0-20 cm
China_S162,S162bin,8,China2018,In-house Data,China,Asia,Agricultural Land,134478856,37.9525,114.7902778,PRJNA983538,SAMN35729595,0-20 cm
China_S163,S163bin,3,China2018,In-house Data,China,Asia,Forest,148664704,37.91027778,114.3455556,PRJNA983538,SAMN35729596,0-20 cm
China_S165,S165bin,19,China2018,In-house Data,China,Asia,Agricultural Land,132805600,37.87444444,114.8925,PRJNA983538,SAMN35729597,0-20 cm
China_S168,S168bin,15,China2018,In-house Data,China,Asia,Agricultural Land,138195868,32.16333333,114.1133333,PRJNA983538,SAMN35729598,0-20 cm
China_S17,S17rbin,23,China2018,In-house Data,China,Asia,Agricultural Land,174942742,34.27472222,112.24,PRJNA983538,SAMN35729599,0-20 cm
China_S171,S171bin,18,China2018,In-house Data,China,Asia,Forest,147561880,32.07444444,114.1177778,PRJNA983538,SAMN35729600,0-20 cm
China_S173,S173bin,9,China2018,In-house Data,China,Asia,Forest,143525672,35.31666667,114.9069444,PRJNA983538,SAMN35729601,0-20 cm
China_S174,S174bin,8,China2018,In-house Data,China,Asia,Wetland,139391116,35.28111111,114.8736111,PRJNA983538,SAMN35729602,0-20 cm
China_S175,S175bin,26,China2018,In-house Data,China,Asia,Grassland,133416794,35.22777778,114.8311111,PRJNA983538,SAMN35729603,0-20 cm
China_S176,S176bin,14,China2018,In-house Data,China,Asia,Agricultural Land,131477748,35.20472222,114.7486111,PRJNA983538,SAMN35729604,0-20 cm
China_S177,S177bin,7,China2018,In-house Data,China,Asia,Agricultural Land,130341346,35.33527778,114.9025,PRJNA983538,SAMN35729605,0-20 cm
China_S178,S178bin,24,China2018,In-house Data,China,Asia,Agricultural Land,129740856,35.37,114.9216667,PRJNA983538,SAMN35729606,0-20 cm
China_S179,S179bin,51,China2018,In-house Data,China,Asia,Agricultural Land,149981634,44.575,129.7,PRJNA983538,SAMN35729607,0-20 cm
China_S18,S18rbin,15,China2018,In-house Data,China,Asia,Agricultural Land,149419160,34.32833333,112.3002778,PRJNA983538,SAMN35729608,0-20 cm
China_S180,S180bin,19,China2018,In-house Data,China,Asia,Agricultural Land,154157290,44.54944444,129.7413889,PRJNA983538,SAMN35729609,0-20 cm
China_S182,S182bin,16,China2018,In-house Data,China,Asia,Agricultural Land,128729146,45.74666667,126.5930556,PRJNA983538,SAMN35729610,0-20 cm
China_S184,S184bin,5,China2018,In-house Data,China,Asia,Forest,132241020,47.32861111,124.0794444,PRJNA983538,SAMN35729611,0-20 cm
China_S185,S185bin,19,China2018,In-house Data,China,Asia,Wetland,132455772,47.20055556,124.2113889,PRJNA983538,SAMN35729612,0-20 cm
China_S186,S186bin,10,China2018,In-house Data,China,Asia,Agricultural Land,146915438,47.32388889,124.0875,PRJNA983538,SAMN35729613,0-20 cm
China_S187,S187bin,15,China2018,In-house Data,China,Asia,Agricultural Land,150566388,46.61055556,126.8816667,PRJNA983538,SAMN35729614,0-20 cm
China_S188,S188bin,6,China2018,In-house Data,China,Asia,Forest,129373340,47.29444444,129.4255556,PRJNA983538,SAMN35729615,0-20 cm
China_S191,S191bin,32,China2018,In-house Data,China,Asia,Agricultural Land,141507556,30.10888889,114.9202778,PRJNA983538,SAMN35729616,0-20 cm
China_S193,S193bin,18,China2018,In-house Data,China,Asia,Forest,163017456,30.39666667,109.5719444,PRJNA983538,SAMN35729617,0-20 cm
China_S199,S199bin,3,China2018,In-house Data,China,Asia,Forest,139919380,30.19694444,114.9622222,PRJNA983538,SAMN35729618,0-20 cm
China_S2,S2rebin,13,China2018,In-house Data,China,Asia,Agricultural Land,139090464,34.78222222,111.7647222,PRJNA983538,SAMN35729619,0-20 cm
China_S20,S20rbin,19,China2018,In-house Data,China,Asia,Forest,129506476,32.32305556,113.6236111,PRJNA983538,SAMN35729620,0-20 cm
China_S209,S209bin,12,China2018,In-house Data,China,Asia,Wetland,138853288,29.50166667,112.8005556,PRJNA983538,SAMN35729621,0-20 cm
China_S21,S21rbin,34,China2018,In-house Data,China,Asia,Agricultural Land,159497654,32.32416667,113.6247222,PRJNA983538,SAMN35729622,0-20 cm
China_S211,S211bin,45,China2018,In-house Data,China,Asia,Agricultural Land,149805464,45.0125,124.9825,PRJNA983538,SAMN35729623,0-20 cm
China_S212,S212bin,0,China2018,In-house Data,China,Asia,Grassland,147918658,45.11861111,124.4161111,PRJNA983538,SAMN35729624,0-20 cm
China_S213,S213bin,9,China2018,In-house Data,China,Asia,Agricultural Land,146177940,42.94444444,128.4455556,PRJNA983538,SAMN35729625,0-20 cm
China_S215,S215bin,2,China2018,In-house Data,China,Asia,Forest,141399350,42.43138889,128.1169444,PRJNA983538,SAMN35729626,0-20 cm
China_S22,S22rbin,12,China2018,In-house Data,China,Asia,Agricultural Land,181526448,32.32416667,113.6247222,PRJNA983538,SAMN35729627,0-20 cm
China_S223,S223bin,9,China2018,In-house Data,China,Asia,Wetland,148354922,31.32277778,120.3511111,PRJNA983538,SAMN35729628,0-20 cm
China_S225,S225bin,9,China2018,In-house Data,China,Asia,Grassland,146406982,31.32388889,120.3530556,PRJNA983538,SAMN35729629,0-20 cm
China_S226,S226bin,29,China2018,In-house Data,China,Asia,Agricultural Land,130799832,32.96777778,120.0108333,PRJNA983538,SAMN35729630,0-20 cm
China_S227,S227bin,32,China2018,In-house Data,China,Asia,Agricultural Land,143116250,31.45972222,120.2483333,PRJNA983538,SAMN35729631,0-20 cm
China_S228,S228bin,6,China2018,In-house Data,China,Asia,Agricultural Land,145799510,31.53027778,120.3316667,PRJNA983538,SAMN35729632,0-20 cm
China_S23,S23rbin,7,China2018,In-house Data,China,Asia,Grassland,160054646,32.32388889,113.6244444,PRJNA983538,SAMN35729633,0-20 cm
China_S233,S233bin,18,China2018,In-house Data,China,Asia,Agricultural Land,167194778,27.16527778,115.0983333,PRJNA983538,SAMN35729634,0-20 cm
China_S234,S234bin,5,China2018,In-house Data,China,Asia,Wetland,129071226,27.13416667,114.9919444,PRJNA983538,SAMN35729635,0-20 cm
China_S237,S237bin,19,China2018,In-house Data,China,Asia,Agricultural Land,159681074,27.08083333,115.01,PRJNA983538,SAMN35729636,0-20 cm
China_S238,S238bin,10,China2018,In-house Data,China,Asia,Agricultural Land,135249956,27.11722222,115.0511111,PRJNA983538,SAMN35729637,0-20 cm
China_S239,S239bin,8,China2018,In-house Data,China,Asia,Agricultural Land,147439010,29.71166667,115.8525,PRJNA983538,SAMN35729638,0-20 cm
China_S24,S24rbin,4,China2018,In-house Data,China,Asia,Forest,168211276,32.31833333,110.02,PRJNA983538,SAMN35729639,0-20 cm
China_S242,S242bin,7,China2018,In-house Data,China,Asia,Grassland,145864726,29.58055556,115.9297222,PRJNA983538,SAMN35729640,0-20 cm
China_S244,S244bin,61,China2018,In-house Data,China,Asia,Agricultural Land,167075876,28.76805556,116.0538889,PRJNA983538,SAMN35729641,0-20 cm
China_S245,S245bin,5,China2018,In-house Data,China,Asia,Agricultural Land,167021344,28.775,116.0563889,PRJNA983538,SAMN35729642,0-20 cm
China_S246,S246bin,34,China2018,In-house Data,China,Asia,Grassland,166418298,28.78777778,115.7561111,PRJNA983538,SAMN35729643,0-20 cm
China_S248,S248bin,15,China2018,In-house Data,China,Asia,Agricultural Land,162812280,28.75694444,115.9283333,PRJNA983538,SAMN35729644,0-20 cm
China_S249,S249bin,12,China2018,In-house Data,China,Asia,Forest,148683106,27.05861111,115.0369444,PRJNA983538,SAMN35729645,0-20 cm
China_S25,S25rbin,18,China2018,In-house Data,China,Asia,Agricultural Land,138213376,32.34583333,110.0236111,PRJNA983538,SAMN35729646,0-20 cm
China_S250,S250bin,5,China2018,In-house Data,China,Asia,Forest,139099146,28.75138889,115.74,PRJNA983538,SAMN35729647,0-20 cm
China_S251,S251bin,37,China2018,In-house Data,China,Asia,Wetland,183920934,28.61222222,115.8344444,PRJNA983538,SAMN35729648,0-20 cm
China_S252,S252bin,5,China2018,In-house Data,China,Asia,Forest,167152964,41.12916667,124.1422222,PRJNA983538,SAMN35729649,0-20 cm
China_S253,S253bin,3,China2018,In-house Data,China,Asia,Forest,152334182,41.84722222,124.9333333,PRJNA983538,SAMN35729650,0-20 cm
China_S256,S256bin,13,China2018,In-house Data,China,Asia,Agricultural Land,167820170,41.01583333,122.405,PRJNA983538,SAMN35729651,0-20 cm
China_S257,S257bin,7,China2018,In-house Data,China,Asia,Wetland,171877084,41.01583333,122.405,PRJNA983538,SAMN35729652,0-20 cm
China_S258,S258bin,53,China2018,In-house Data,China,Asia,Agricultural Land,166086922,41.01583333,122.405,PRJNA983538,SAMN35729653,0-20 cm
China_S260,S260bin,4,China2018,In-house Data,China,Asia,Agricultural Land,157248958,41.77111111,123.4375,PRJNA983538,SAMN35729654,0-20 cm
China_S261,S261bin,28,China2018,In-house Data,China,Asia,Forest,142635648,41.91833333,123.6008333,PRJNA983538,SAMN35729655,0-20 cm
China_S262,S262bin,22,China2018,In-house Data,China,Asia,Wetland,156310504,41.91833333,123.6008333,PRJNA983538,SAMN35729656,0-20 cm
China_S263,S263bin,4,China2018,In-house Data,China,Asia,Agricultural Land,164635446,41.77083333,123.4386111,PRJNA983538,SAMN35729657,0-20 cm
China_S264,S264bin,66,China2018,In-house Data,China,Asia,Agricultural Land,163351416,41.64166667,123.6147222,PRJNA983538,SAMN35729658,0-20 cm
China_S265,S265bin,6,China2018,In-house Data,China,Asia,Agricultural Land,175536326,41.77111111,123.4375,PRJNA983538,SAMN35729659,0-20 cm
China_S268,S268bin,21,China2018,In-house Data,China,Asia,Agricultural Land,163612900,37.46361111,121.3783333,PRJNA983538,SAMN35729660,0-20 cm
China_S269,S269bin,8,China2018,In-house Data,China,Asia,Forest,146225046,37.52472222,121.3841667,PRJNA983538,SAMN35729661,0-20 cm
China_S270,S270bin,6,China2018,In-house Data,China,Asia,Grassland,151215184,37.52527778,121.3861111,PRJNA983538,SAMN35729662,0-20 cm
China_S271,S271bin,11,China2018,In-house Data,China,Asia,Agricultural Land,152776526,36.08,120.3641667,PRJNA983538,SAMN35729663,0-20 cm
China_S274,S274bin,15,China2018,In-house Data,China,Asia,Wetland,148820894,36.06444444,120.1038889,PRJNA983538,SAMN35729664,0-20 cm
China_S276,S276bin,19,China2018,In-house Data,China,Asia,Wetland,159977998,37.65305556,112.7463889,PRJNA983538,SAMN35729665,0-20 cm
China_S277,S277bin,10,China2018,In-house Data,China,Asia,Forest,166444088,37.54305556,112.3141667,PRJNA983538,SAMN35729666,0-20 cm
China_S279,S279bin,15,China2018,In-house Data,China,Asia,Forest,158514218,38.40416667,112.7461111,PRJNA983538,SAMN35729667,0-20 cm
China_S28,S28rbin,1,China2018,In-house Data,China,Asia,Forest,135126398,32.65944444,110.7952778,PRJNA983538,SAMN35729668,0-20 cm
China_S281,S281bin,7,China2018,In-house Data,China,Asia,Agricultural Land,139457790,37.51166667,112.3322222,PRJNA983538,SAMN35729669,0-20 cm
China_S283,S283bin,13,China2018,In-house Data,China,Asia,Agricultural Land,178010366,37.42166667,112.2986111,PRJNA983538,SAMN35729670,0-20 cm
China_S284,S284bin,15,China2018,In-house Data,China,Asia,Agricultural Land,156666812,37.42166667,112.2986111,PRJNA983538,SAMN35729671,0-20 cm
China_S285,S285bin,13,China2018,In-house Data,China,Asia,Wetland,156245732,39.22027778,113.3891667,PRJNA983538,SAMN35729672,0-20 cm
China_S286,S286bin,9,China2018,In-house Data,China,Asia,Agricultural Land,159740894,39.22416667,113.3980556,PRJNA983538,SAMN35729673,0-20 cm
China_S287,S287bin,10,China2018,In-house Data,China,Asia,Grassland,155005590,38.71833333,111.8375,PRJNA983538,SAMN35729674,0-20 cm
China_S288,S288bin,14,China2018,In-house Data,China,Asia,Agricultural Land,126544742,34.2525,108.9830556,PRJNA983538,SAMN35729675,0-20 cm
China_S29,S29rbin,16,China2018,In-house Data,China,Asia,Forest,141147394,29.26416667,113.1183333,PRJNA983538,SAMN35729676,0-20 cm
China_S290,S290bin,11,China2018,In-house Data,China,Asia,Wetland,159903870,34.41083333,108.9980556,PRJNA983538,SAMN35729677,0-20 cm
China_S296,S296bin,14,China2018,In-house Data,China,Asia,Agricultural Land,161386096,34.04972222,108.9091667,PRJNA983538,SAMN35729678,0-20 cm
China_S297,S297bin,16,China2018,In-house Data,China,Asia,Agricultural Land,155750338,34.41305556,109.1386111,PRJNA983538,SAMN35729679,0-20 cm
China_S3,S3rebin,7,China2018,In-house Data,China,Asia,Forest,136217924,33.18166667,113.86,PRJNA983538,SAMN35729680,0-20 cm
China_S308,S308bin,15,China2018,In-house Data,China,Asia,Agricultural Land,131131278,28.83166667,104.6163889,PRJNA983538,SAMN35729681,0-20 cm
China_S309,S309bin,21,China2018,In-house Data,China,Asia,Agricultural Land,126721660,29.625,103.5680556,PRJNA983538,SAMN35729682,0-20 cm
China_S310,S310bin,3,China2018,In-house Data,China,Asia,Wetland,162958950,27.85194444,102.2675,PRJNA983538,SAMN35729683,0-20 cm
China_S311,S311bin,3,China2018,In-house Data,China,Asia,Grassland,147583260,27.87388889,102.5163889,PRJNA983538,SAMN35729684,0-20 cm
China_S312,S312bin,18,China2018,In-house Data,China,Asia,Agricultural Land,163724992,38.98472222,117.15,PRJNA983538,SAMN35729685,0-20 cm
China_S313,S313bin,23,China2018,In-house Data,China,Asia,Wetland,165078430,38.99638889,117.1397222,PRJNA983538,SAMN35729686,0-20 cm
China_S315,S315bin,7,China2018,In-house Data,China,Asia,Agricultural Land,133932452,38.92111111,117.5336111,PRJNA983538,SAMN35729687,0-20 cm
China_S317,S317bin,11,China2018,In-house Data,China,Asia,Forest,172786234,39.07361111,117.1497222,PRJNA983538,SAMN35729688,0-20 cm
China_S318,S318bin,8,China2018,In-house Data,China,Asia,Agricultural Land,166579560,39.21916667,117.1230556,PRJNA983538,SAMN35729689,0-20 cm
China_S32,S32rbin,16,China2018,In-house Data,China,Asia,Agricultural Land,142362178,29.43583333,113.0172222,PRJNA983538,SAMN35729690,0-20 cm
China_S321,S321bin,13,China2018,In-house Data,China,Asia,Agricultural Land,169250744,39.04416667,117.6555556,PRJNA983538,SAMN35729691,0-20 cm
China_S324,S324bin,41,China2018,In-house Data,China,Asia,Wetland,164915596,39.27666667,117.4744444,PRJNA983538,SAMN35729692,0-20 cm
China_S325,S325bin,8,China2018,In-house Data,China,Asia,Agricultural Land,171099092,39.54694444,117.0319444,PRJNA983538,SAMN35729693,0-20 cm
China_S326,S326bin,17,China2018,In-house Data,China,Asia,Agricultural Land,170114742,39.61111111,117.025,PRJNA983538,SAMN35729694,0-20 cm
China_S328,S328bin,10,China2018,In-house Data,China,Asia,Agricultural Land,168647324,25.58666667,100.32,PRJNA983538,SAMN35729695,0-20 cm
China_S329,S329bin,23,China2018,In-house Data,China,Asia,Forest,156668612,25.57972222,100.335,PRJNA983538,SAMN35729696,0-20 cm
China_S330,S330bin,8,China2018,In-house Data,China,Asia,Agricultural Land,171254400,25.68666667,100.3877778,PRJNA983538,SAMN35729697,0-20 cm
China_S331,S331bin,8,China2018,In-house Data,China,Asia,Agricultural Land,164259284,25.60333333,100.2477778,PRJNA983538,SAMN35729698,0-20 cm
China_S332,S332bin,0,China2018,In-house Data,China,Asia,Agricultural Land,162494992,26.75861111,100.6683333,PRJNA983538,SAMN35729699,0-20 cm
China_S333,S333bin,21,China2018,In-house Data,China,Asia,Agricultural Land,168798058,26.77305556,100.6725,PRJNA983538,SAMN35729700,0-20 cm
China_S334,S334bin,14,China2018,In-house Data,China,Asia,Wetland,168633486,26.86611111,100.1480556,PRJNA983538,SAMN35729701,0-20 cm
China_S335,S335bin,19,China2018,In-house Data,China,Asia,Forest,138626708,26.96027778,100.2008333,PRJNA983538,SAMN35729702,0-20 cm
China_S339,S339bin,3,China2018,In-house Data,China,Asia,Agricultural Land,129293352,29.69777778,107.3813889,PRJNA983538,SAMN35729703,0-20 cm
China_S340,S340bin,0,China2018,In-house Data,China,Asia,Forest,167589302,29.565,107.6077778,PRJNA983538,SAMN35729704,0-20 cm
China_S342,S342bin,4,China2018,In-house Data,China,Asia,Agricultural Land,155864732,29.5125,106.4722222,PRJNA983538,SAMN35729705,0-20 cm
China_S344,S344bin,12,China2018,In-house Data,China,Asia,Grassland,176179918,29.58472222,107.6005556,PRJNA983538,SAMN35729706,0-20 cm
China_S35,S35rbin,10,China2018,In-house Data,China,Asia,Agricultural Land,143018280,25.89861111,113.0055556,PRJNA983538,SAMN35729707,0-20 cm
China_S351,S351bin,27,China2018,In-house Data,China,Asia,Agricultural Land,135028126,29.47055556,107.1438889,PRJNA983538,SAMN35729708,0-20 cm
China_S354,S354bin,25,China2018,In-house Data,China,Asia,Agricultural Land,175595994,29.46166667,107.11,PRJNA983538,SAMN35729709,0-20 cm
China_S361,S361bin,10,China2018,In-house Data,China,Asia,Grassland,168636074,28.96666667,118.8536111,PRJNA983538,SAMN35729710,0-20 cm
China_S363,S363bin,2,China2018,In-house Data,China,Asia,Agricultural Land,169859898,30.66861111,120.5177778,PRJNA983538,SAMN35729711,0-20 cm
China_S366,S366bin,86,China2018,In-house Data,China,Asia,Agricultural Land,203830910,30.66305556,120.4575,PRJNA983538,SAMN35729712,0-20 cm
China_S369,S369bin,3,China2018,In-house Data,China,Asia,Grassland,158702152,33.67472222,88,PRJNA983538,SAMN35729713,0-20 cm
China_S37,S37rbin,12,China2018,In-house Data,China,Asia,Grassland,188682876,25.89333333,113.0036111,PRJNA983538,SAMN35729714,0-20 cm
China_S379,S379bin,8,China2018,In-house Data,China,Asia,Grassland,170636776,47.34777778,81.284477,PRJNA983538,SAMN35729715,0-20 cm
China_S38,S38rbin,9,China2018,In-house Data,China,Asia,Agricultural Land,141498546,25.8,113.0225,PRJNA983538,SAMN35729716,0-20 cm
China_S380,S380bin,9,China2018,In-house Data,China,Asia,Grassland,173511062,43.86305556,84.030165,PRJNA983538,SAMN35729717,0-20 cm
China_S381,S381bin,11,China2018,In-house Data,China,Asia,Grassland,129181340,43.26583333,88.150153,PRJNA983538,SAMN35729718,0-20 cm
China_S383,S383bin,9,China2018,In-house Data,China,Asia,Grassland,127087084,47.35222222,87.843463,PRJNA983538,SAMN35729719,0-20 cm
China_S384,S384bin,3,China2018,In-house Data,China,Asia,Agricultural Land,152589282,28.498423,119.904275,PRJNA983538,SAMN35729720,0-20 cm
China_S385,S385bin,13,China2018,In-house Data,China,Asia,Agricultural Land,172269472,28.498423,119.904275,PRJNA983538,SAMN35729721,0-20 cm
China_S386,S386bin,11,China2018,In-house Data,China,Asia,Agricultural Land,128566444,28.498423,119.904275,PRJNA983538,SAMN35729722,0-20 cm
China_S387,S387bin,43,China2018,In-house Data,China,Asia,Agricultural Land,189575162,28.498423,119.904275,PRJNA983538,SAMN35729723,0-20 cm
China_S389,S389bin,7,China2018,In-house Data,China,Asia,Wetland,163013456,28.498423,119.904275,PRJNA983538,SAMN35729724,0-20 cm
China_S390,S390bin,29,China2018,In-house Data,China,Asia,Agricultural Land,172141628,35.207199,114.675606,PRJNA983538,SAMN35729725,0-20 cm
China_S391,S391bin,4,China2018,In-house Data,China,Asia,Agricultural Land,169908514,29.573145,103.749543,PRJNA983538,SAMN35729726,0-20 cm
China_S393,S393bin,8,China2018,In-house Data,China,Asia,Agricultural Land,170501854,29.660384,115.952035,PRJNA983538,SAMN35729727,0-20 cm
China_S394,S394bin,5,China2018,In-house Data,China,Asia,Forest,152833340,19.16075,110.452374,PRJNA983538,SAMN35729728,0-20 cm
China_S4,S4rebin,17,China2018,In-house Data,China,Asia,Agricultural Land,156939410,32.96,113.0766667,PRJNA983538,SAMN35729729,0-20 cm
China_S400,S400bin,17,China2018,In-house Data,China,Asia,Agricultural Land,137457846,39.11283,117.206366,PRJNA983538,SAMN35729730,0-20 cm
China_S401,S401bin,7,China2018,In-house Data,China,Asia,Forest,172349696,39.938258,116.414341,PRJNA983538,SAMN35729731,0-20 cm
China_S402,S402bin,19,China2018,In-house Data,China,Asia,Agricultural Land,176334650,38.87527,115.494457,PRJNA983538,SAMN35729732,0-20 cm
China_S403,S403bin,13,China2018,In-house Data,China,Asia,Agricultural Land,171705062,47.368768,123.926294,PRJNA983538,SAMN35729733,0-20 cm
China_S404,S404bin,8,China2018,In-house Data,China,Asia,Wetland,136416870,39.938258,116.414341,PRJNA983538,SAMN35729734,0-20 cm
