N50,Type,Nr contigs,Uniq tRNA
11178,SR,680,18
5290,SR,1057,12
4027,SR,1323,9
13117,SR,204,13
3738,SR,631,7
4313,SR,1252,16
4017,SR,835,19
4244,SR,431,18
10491,SR,495,15
19232,SR,380,12
5491,SR,801,10
7742,SR,687,10
10375,SR,521,16
4545,SR,601,18
10948,SR,455,16
6465,SR,678,21
6986,SR,749,14
3872,SR,514,17
45657,SR,243,10
4460,SR,660,17
5299,SR,431,10
11119,SR,494,15
8894,SR,644,16
9495,SR,603,14
3842,SR,377,16
8938,SR,375,15
15956,SR,395,7
23858,SR,342,16
13140,SR,589,21
15922,SR,387,16
15394,SR,303,16
13262,SR,493,20
10868,SR,565,12
9324,SR,392,16
6391,SR,793,15
11920,SR,617,15
6109,SR,496,19
5764,SR,288,20
7935,SR,223,19
5345,SR,734,7
3997,SR,854,16
7308,SR,869,20
6018,SR,358,20
5217,SR,698,12
40965,SR,312,12
13186,SR,581,19
5730,SR,770,17
10732,SR,226,13
6450,SR,704,10
3685,SR,793,17
10678,SR,237,17
6998,SR,398,8
3878,SR,1107,8
4382,SR,493,13
13151,SR,543,13
5399,SR,442,14
9709,SR,640,14
15362,SR,299,16
10082,SR,769,16
19874,SR,390,15
7692,SR,273,13
7575,SR,662,10
14114,SR,453,17
9464,SR,742,16
4062,SR,807,10
3724,SR,584,18
5114,SR,1251,16
14672,SR,408,9
6042,SR,688,17
3889,SR,1009,19
7847,SR,716,15
7158,SR,591,20
9262,SR,588,10
9267,SR,447,16
15473,SR,424,17
8776,SR,394,10
22060,SR,272,8
33451,SR,131,11
25966,SR,245,13
10918,SR,453,14
4240,SR,323,13
5274,SR,562,10
20795,SR,381,6
6012,SR,611,17
5361,SR,739,9
5372,SR,498,12
11782,SR,477,5
5675,SR,643,8
6544,SR,514,11
6383,SR,764,9
7336,SR,761,9
11840,SR,625,15
5398,SR,822,14
4752,SR,558,18
11078,SR,425,16
4830,SR,367,8
6414,SR,348,12
4366,SR,570,17
10247,SR,276,15
10606,SR,566,15
3771,SR,283,16
11105,SR,698,15
4488,SR,850,16
4866,SR,803,20
7656,SR,542,14
9779,SR,331,10
4558,SR,811,15
5968,SR,538,5
5972,SR,804,8
5359,SR,354,20
6564,SR,632,17
10389,SR,719,16
6866,SR,457,18
26575,SR,210,8
11720,SR,410,17
4177,SR,472,9
12529,SR,500,9
33009,SR,138,13
4760,SR,541,16
15096,SR,383,12
6828,SR,346,11
6644,SR,993,18
4418,SR,1823,13
7461,SR,478,8
4737,SR,749,14
14385,SR,470,10
6779,SR,792,16
4359,SR,873,17
8216,SR,947,16
9494,SR,469,10
11502,SR,958,13
18556,SR,360,17
14759,SR,348,12
3521,SR,1090,18
16751,SR,371,19
14757,SR,480,15
6788,SR,547,15
5718,SR,236,20
9193,SR,503,16
5926,SR,449,13
25127,SR,160,12
6116,SR,612,8
3830,SR,736,17
8904,SR,424,13
12056,SR,615,13
8666,SR,402,11
10302,SR,385,13
5422,SR,474,12
8872,SR,515,16
7136,SR,332,12
25210,SR,333,15
4767,SR,1218,18
5470,SR,944,14
5510,SR,584,14
15326,SR,440,16
6719,SR,380,7
5025,SR,618,15
8673,SR,552,17
9867,SR,543,14
5677,SR,772,10
5698,SR,771,19
5660,SR,725,8
8890,SR,814,10
5557,SR,608,18
12919,SR,589,11
7959,SR,601,18
8199,SR,658,15
4963,SR,600,15
4962,SR,505,14
9643,SR,633,16
15668,SR,440,14
9240,SR,582,20
6876,SR,736,15
5056,SR,771,13
4289,SR,793,6
10668,SR,421,9
37500,SR,246,11
3929,SR,458,20
3892,SR,462,18
4778,SR,431,13
10474,SR,714,20
8996,SR,472,15
17886,SR,429,17
5386,SR,666,8
18488,SR,408,19
3823,SR,351,11
5599,SR,946,12
3923,SR,612,15
7464,SR,555,11
28023,SR,353,12
4926,SR,582,20
5604,SR,373,18
5642,SR,425,11
6306,SR,393,16
4619,SR,653,13
4050,SR,918,15
5502,SR,842,15
5859,SR,469,12
5524,SR,773,16
10112,SR,560,19
5857,SR,636,16
25141,SR,332,15
4059,SR,1013,12
15753,SR,280,11
7826,SR,438,19
8614,SR,636,13
14987,SR,434,15
7406,SR,778,13
3237,SR,652,12
34080,SR,192,17
6659,SR,422,8
4137,SR,841,17
28996,SR,447,17
3968,SR,490,20
17419,SR,153,11
5342,SR,624,18
3376,SR,938,20
6378,SR,1160,7
4462,SR,1067,20
13764,SR,213,15
6851,SR,652,15
11405,SR,333,17
17144,SR,698,15
4375,SR,552,18
27722,SR,174,19
4529,SR,802,14
11952,SR,520,17
6321,SR,471,16
22191,SR,221,15
10016,SR,291,16
6443,SR,408,17
20648,SR,175,17
33536,SR,145,17
11026,SR,400,19
3335,SR,1003,17
10082,SR,411,18
6851,SR,506,10
20622,SR,190,16
24922,SR,221,13
52560,SR,114,17
4709,SR,1121,17
13350,SR,434,15
4648,SR,926,10
5975,SR,898,16
18622,SR,468,17
4527,SR,461,16
5990,SR,447,9
5820,SR,519,11
3499,SR,611,12
7812,SR,566,17
14278,SR,352,11
7553,SR,536,15
5555,SR,599,14
4296,SR,584,10
22802,SR,316,12
27700,SR,632,12
6022,SR,516,17
4842,SR,643,12
3710,SR,843,19
20655,SR,315,13
8907,SR,280,10
20469,SR,321,16
3394,SR,795,10
14661,SR,177,19
4278,SR,499,11
3741,SR,424,12
7564,SR,394,6
29246,SR,208,13
6498,SR,777,11
3379,SR,1375,17
6045,SR,616,20
12133,SR,262,15
5086,SR,586,20
21859,SR,504,12
5068,SR,711,14
47137,SR,136,15
4368,SR,625,13
5626,SR,493,9
11267,SR,217,20
4094,SR,317,11
18049,SR,287,17
5760,SR,566,15
4204,SR,302,17
5294,SR,434,15
4454,SR,642,5
5256,SR,524,20
4201,SR,446,20
4591,SR,357,10
4019,SR,572,15
8906,SR,243,14
4614,SR,219,16
14318,SR,285,13
3419,SR,456,13
3953,SR,731,17
6696,SR,614,14
15280,SR,185,11
6870,SR,566,4
7093,SR,526,17
12251,SR,338,20
4465,SR,794,10
6808,SR,457,8
6950,SR,1029,14
3941,SR,365,18
9243,SR,345,17
6625,SR,792,11
9829,SR,368,11
10281,SR,294,13
3819,SR,411,9
22406,SR,184,12
5219,SR,290,12
10417,SR,644,15
6196,SR,897,15
4220,SR,684,10
11353,SR,607,18
22323,SR,296,14
7450,SR,321,11
7730,SR,689,10
5124,SR,349,16
12861,SR,203,10
4348,SR,661,11
5504,SR,486,14
10116,SR,451,8
10780,SR,379,8
5149,SR,634,11
4175,SR,485,13
4742,SR,487,15
9436,SR,391,20
59273,SR,112,14
5053,SR,459,13
4977,SR,834,14
7776,SR,690,15
5489,SR,499,15
4929,SR,445,18
15331,SR,161,14
5106,SR,560,8
11178,SR,700,13
7007,SR,518,21
6411,SR,612,6
3491,SR,583,19
4193,SR,1479,12
3523,SR,466,17
3484,SR,556,14
6039,SR,482,11
4185,SR,469,19
4895,SR,682,17
3603,SR,432,13
11712,SR,467,18
7131,SR,378,13
8249,SR,428,14
6802,SR,725,16
12588,SR,377,17
9504,SR,722,12
10040,SR,632,10
15831,SR,404,15
24360,SR,200,14
14807,SR,419,13
5323,SR,359,12
4982,SR,442,18
8501,SR,300,13
7027,SR,389,16
19965,SR,258,17
7469,SR,375,11
29537,SR,247,13
49510,SR,116,12
5952,SR,428,15
19013,SR,355,16
12005,SR,650,10
6151,SR,718,17
15703,SR,418,20
5602,SR,697,16
7574,SR,510,14
15116,SR,335,11
5289,SR,602,17
4842,SR,476,11
3758,SR,458,17
4727,SR,862,19
4198,SR,636,3
6979,SR,499,10
5822,SR,612,11
13840,SR,209,10
12812,SR,467,18
5099,SR,362,16
7957,SR,639,17
23546,SR,284,14
8609,SR,444,15
20061,SR,215,19
4542,SR,840,15
4284,SR,477,15
4946,SR,453,14
6270,SR,646,15
7747,SR,820,12
8652,SR,317,12
8144,SR,286,16
15020,SR,427,11
6919,SR,455,5
7432,SR,561,16
6566,SR,637,13
13539,SR,204,10
6262,SR,485,12
7044,SR,570,9
4880,SR,561,17
11965,SR,347,18
10928,SR,476,14
6009,SR,700,17
6610,SR,664,10
7202,SR,541,13
5471,SR,724,20
12217,SR,502,14
4589,SR,356,17
7078,SR,762,12
23540,SR,160,15
13047,SR,185,15
16460,SR,364,13
19107,SR,229,12
4604,SR,323,19
5651,SR,433,20
6994,SR,534,14
37896,SR,167,13
20633,SR,300,20
10893,SR,366,21
14379,SR,431,12
6092,SR,525,13
4262,SR,663,15
5551,SR,861,10
8201,SR,594,12
13907,SR,293,10
10688,SR,735,18
19787,SR,389,14
5827,SR,598,15
7631,SR,410,16
9813,SR,742,13
4926,SR,758,14
6295,SR,440,15
7773,SR,436,15
7683,SR,382,16
10154,SR,249,15
4745,SR,578,9
10984,SR,425,7
