sample,trimmed_mean_chao1
SNJ10_350,4153.614313305622
10_350,3112.4935898433714
CPSNJ14_350,3350.160659494323
7_350,3143.156099030971
SNJ09_350,3528.3535954934705
SNJ03_350,4091.2968113464203
27_350,4665.478538274641
SNJ20_350,4891.470367544355
17_350,3969.72779219833
CPSNJ20_350,3240.0308697181467
5_350,2955.248287552041
CPSNJ16_350,2820.443890359937
4_350,3029.294216324723
CPSNJ15_350,3778.321669127732
11_350,4119.24644687688
18_350,3292.4246332734942
19_350,3464.5503488476697
CPSNJ03_350,2920.829390943586
SNJ16_350,4674.761951245533
CPSNJ02_350,3769.592947976922
CPSNJ09_350,2383.457669486459
8_350,3506.0959870169722
2_350,3271.8914401213974
14_350,4573.900983055003
SNJ13_350,3957.8702263728255
21_350,4333.232888951195
29_350,3810.754935462759
16_350,3950.945036613511
6_350,4443.766323926121
SNJ08_350,3724.68821864234
SNJ11_350,3622.790181268031
SNJ02_350,4331.650835218159
26_350,3896.1868393890227
CPSNJ08_350,4354.439418036841
CPSNJ13_350,2741.9560407608255
25_350,3851.7366997561385
30_350,3420.094064257868
SNJ15_350,4001.000617180535
SNJ04_350,4281.192961836396
9_350,4011.819006545031
28_350,4337.047679129296
23_350,3836.973009650248
CPSNJ19_350,2902.109552483472
13_350,3098.7133775056623
12_350,3294.856744012655
1_350,3021.987956143914
15_350,4050.864189696912
SNJ14_350,3683.5088917986227
CPSNJ04_350,3561.139466153435
20_350,3711.185215564579
CPSNJ10_350,3537.9864155732535
SNJ19_350,3540.409825882933
CPSNJ01_350,3303.023655301338
SNJ01_350,4480.227243603703
CPSNJ11_350,2711.3451508706275
24_350,4765.927011432987
22_350,3779.3364141124785
3_350,2973.2546622487666
