sample,trimmed_mean_chao1
SRR25158466,1993.7429897074203
SRR25158329,2378.577948496379
SRR25158366,3333.0097744579043
SRR25158421,2720.6373681451078
SRR25158259,2476.830481567582
SRR25158343,1228.899471109041
SRR25158497,2582.2540715291666
SRR25158351,1581.2207962763223
SRR25158208,3902.412332495505
SRR25158225,3411.8840858739636
SRR25158256,2450.742345150789
SRR25158525,3044.6850594134726
SRR25158297,1867.0339664038568
SRR25158383,2847.85028881422
SRR25158304,1662.053022581535
SRR25158350,1842.4367889589835
SRR25158503,3258.4185487079753
SRR25158491,2747.507507849354
SRR25158276,3466.4265529656
SRR25158425,2605.514255467901
SRR25158532,3445.6501223966275
SRR25158238,3836.606618330117
SRR25158420,2039.2798723624412
SRR25158471,1423.8547482512759
SRR25158436,2231.756306246955
SRR25158486,2198.567781045482
SRR25158441,1418.2928080277854
SRR25158381,2868.944292949329
SRR25158401,3316.7360040468798
SRR25158487,2264.2330227370717
SRR25158264,1837.4082493472797
SRR25158494,2507.0630345436543
SRR25158513,1468.8782015951906
SRR25158393,3037.625358374786
SRR25158248,2794.2429504255265
SRR25158215,3382.8315135307403
SRR25158480,2333.4495422582604
SRR25158467,2680.337001146389
SRR25158403,1821.1662236678092
SRR25158536,2483.074923768355
SRR25158239,2911.2434517530914
SRR25158179,2408.5194034927667
SRR25158517,3015.290741535004
SRR25158177,2653.113920714463
SRR25158397,2637.455424914453
SRR25158237,3499.583567690661
SRR25158183,3061.9975734752297
SRR25158202,2348.749178512491
SRR25158188,1921.5342568407464
SRR25158210,3901.7392135864443
SRR25158270,1711.5985048148061
SRR25158305,1951.533363016143
SRR25158361,3864.959253282987
SRR25158454,2395.70943374672
SRR25158353,1553.3715503008577
SRR25158282,3765.0286188761643
SRR25158414,3146.142027324953
SRR25158402,1709.1907539949905
SRR25158212,4280.573321325294
SRR25158453,2271.4283413806183
SRR25158434,2709.15972689715
SRR25158531,2588.3677627545167
SRR25158323,2522.5666743141637
SRR25158319,3368.6784506042413
SRR25158185,1914.5083442253829
SRR25158407,2825.7885587643295
SRR25158336,1626.251441690792
SRR25158200,2036.3215293939309
SRR25158496,3261.347129950706
SRR25158261,1563.336697317857
SRR25158516,3106.9707180096043
SRR25158355,1542.5164304553002
SRR25158485,3023.148741652663
SRR25158328,2430.8526239812027
SRR25158227,2917.5873948281137
SRR25158224,3616.7856407604368
SRR25158529,2623.52743351361
SRR25158226,2206.928888065188
SRR25158262,1475.4182082149525
SRR25158201,2228.4750169539143
SRR25158521,2698.548293347109
SRR25158484,2999.4535967450624
SRR25158437,1775.8133295172336
SRR25158332,2514.631842615583
SRR25158477,3115.5429268266894
SRR25158372,1457.8064921120979
SRR25158528,2879.5241606260656
SRR25158358,1349.9171314755552
SRR25158443,2954.755694254372
SRR25158426,2241.4664230571807
SRR25158246,2331.995068902566
SRR25158511,2641.9680510236312
SRR25158396,2134.176223335493
SRR25158433,2434.1442325394046
SRR25158508,1986.2834919668862
SRR25158430,2437.0631792299278
SRR25158457,2508.587710145925
SRR25158465,3153.463147326729
SRR25158362,3913.042381521669
SRR25158475,2807.0448547572164
SRR25158287,3711.9325567268293
SRR25158346,1390.2711286978022
SRR25158289,2058.2520400451126
SRR25158469,2741.6822195801524
SRR25158327,2926.417560389141
SRR25158250,1560.3390455685046
SRR25158209,3891.193198246071
SRR25158345,2838.7764056408637
SRR25158428,3423.142660808133
SRR25158444,3019.3339979550165
SRR25158506,3215.898206890773
SRR25158331,2765.0937071900353
SRR25158255,2450.969459488722
SRR25158249,2532.9303691603664
SRR25158417,3048.193537974518
SRR25158223,3627.6945127959584
SRR25158483,2956.8037254117507
SRR25158312,1309.330731903221
SRR25158472,2548.7599169234777
SRR25158293,1716.7429804864612
SRR25158405,2984.4396923764402
SRR25158399,2437.700400677255
SRR25158228,2963.0601274958253
SRR25158378,2429.867229135407
SRR25158526,3184.73277335778
SRR25158348,1895.1191290032398
SRR25158292,1477.431130672166
SRR25158364,3777.6923364522095
SRR25158280,3343.1826078190234
SRR25158527,2900.4914374356927
SRR25158354,1357.0203513003169
SRR25158286,3320.8789097327754
SRR25158473,2630.6341759435513
SRR25158512,2378.7109024132187
SRR25158265,1530.8304768790517
SRR25158447,2221.7349040142735
SRR25158535,2235.2346346181607
SRR25158298,576.2575553110928
SRR25158236,3441.6771044836405
SRR25158232,3592.9941782799124
SRR25158363,4011.423453995828
SRR25158376,3116.17302171452
SRR25158442,2657.328388231577
SRR25158524,2354.582488462451
SRR25158230,3506.196998467203
SRR25158518,3272.357739653016
SRR25158279,3672.7057577351793
SRR25158247,2962.9347080903067
SRR25158388,3105.5941107478916
SRR25158260,2582.3895646277074
SRR25158495,2306.4408130032957
SRR25158448,2569.823564162822
SRR25158335,2688.974430051689
SRR25158523,3223.891298257521
SRR25158446,2439.292500916013
SRR25158196,3254.6389176618677
SRR25158338,2950.5848359263223
SRR25158254,2735.764642156981
SRR25158213,3553.7367411968485
SRR25158189,2427.3924694232164
SRR25158191,2501.5474997949805
SRR25158197,1726.9086383310569
SRR25158176,1797.4657007045837
SRR25158337,1425.1524051675779
SRR25158380,2655.239203379877
SRR25158192,2105.006383427543
SRR25158190,3287.763451844751
SRR25158478,2248.4635623751806
SRR25158241,1845.2837881848632
SRR25158394,2851.725807850675
SRR25158413,2763.160582297303
SRR25158321,2730.9945471883225
SRR25158231,2440.8147682106837
SRR25158349,2020.8774016949544
SRR25158410,2350.1604536888744
SRR25158377,1795.7090851111466
SRR25158470,2205.312481721194
SRR25158412,1679.2252980448015
SRR25158229,2793.0795772883803
SRR25158306,2772.5974206015144
SRR25158461,2090.685837981604
SRR25158268,1812.202669029684
SRR25158509,2051.1793301683183
SRR25158479,3068.1831774705224
SRR25158360,1130.3110838853113
SRR25158440,2850.122571159439
SRR25158347,1935.0143119556046
SRR25158359,1416.9705143972217
SRR25158207,3627.5684666670545
SRR25158392,1927.8486488791987
SRR25158398,2336.1244200184988
SRR25158339,2177.789925887186
SRR25158285,3389.1883160488765
SRR25158488,3111.252977512126
SRR25158438,1622.0331048273347
SRR25158424,2095.895814287209
SRR25158296,1534.7413371980508
SRR25158273,2771.612594645668
SRR25158456,2437.4072068180226
SRR25158386,1876.9980420813697
SRR25158374,2300.9883306639813
SRR25158278,3171.7160621986254
SRR25158267,1743.006080280207
SRR25158476,2689.9571657484817
SRR25158418,3173.2015243175674
SRR25158519,3074.1736623276665
SRR25158462,2113.1983258795767
SRR25158301,2738.1662853892694
SRR25158415,2872.6159680297187
SRR25158352,1745.265362388826
SRR25158320,3189.95170335802
SRR25158299,796.5299821121231
SRR25158300,2379.9245487143007
SRR25158182,2609.039274904902
SRR25158187,1788.10903317692
SRR25158404,3324.416957376549
SRR25158504,2699.132398118857
SRR25158333,3025.4076287008097
SRR25158423,2458.081861752037
SRR25158390,1954.887958617328
SRR25158313,1646.567102258584
SRR25158502,2307.062994179691
SRR25158275,3375.879538081252
SRR25158368,2200.632146545837
SRR25158233,1674.6628042311409
SRR25158175,2310.4219318768414
SRR25158288,3301.279023876023
SRR25158203,2619.9575441940397
SRR25158391,2590.1162580781565
SRR25158367,3110.0168418286435
SRR25158308,2336.7270926688816
SRR25158180,2893.028228282059
SRR25158251,2528.7182351994206
SRR25158520,3508.1183022769515
SRR25158510,2519.2556118836283
SRR25158411,2061.6152046877496
SRR25158307,2030.7452328974928
SRR25158309,1342.1376257804234
SRR25158281,4064.3881268365176
SRR25158356,2909.3311547037633
SRR25158482,2390.3424579856787
SRR25158253,3100.524319591846
SRR25158271,1628.7692705141737
SRR25158242,2959.0147976244057
SRR25158214,3242.5543996629144
SRR25158315,2596.398992153456
SRR25158474,2798.738608254056
SRR25158357,1249.2533329663825
SRR25158382,3139.0712259503953
SRR25158464,2304.0581246449497
SRR25158514,1869.8804662138025
SRR25158408,2985.325174702213
SRR25158245,2796.8919162058082
SRR25158481,3007.7858275802178
SRR25158445,2161.085301685787
SRR25158258,2709.3668794206856
SRR25158295,2608.1093075253743
SRR25158501,2331.077436265547
SRR25158522,2528.6429447717683
SRR25158303,2459.639919873818
SRR25158318,2429.5361419181127
SRR25158458,2605.0111447142544
SRR25158439,2001.3026503452952
SRR25158291,2665.3368619360176
SRR25158252,2228.3301726378704
SRR25158244,2060.6134471899795
SRR25158449,2351.578111508062
SRR25158387,3262.681092088813
SRR25158489,2951.921039012434
SRR25158269,1351.5894664755185
SRR25158181,2351.354738367579
SRR25158178,2510.1555587126954
SRR25158274,3418.9526735015047
SRR25158375,2926.2338083285877
SRR25158311,1667.9429830038218
SRR25158429,2475.467965145655
SRR25158432,2446.158748662958
SRR25158341,1511.9736360271625
SRR25158384,2894.5064824571527
SRR25158463,2024.7004759948882
SRR25158534,3268.78352948607
SRR25158389,3182.4236220057974
SRR25158533,2034.5744850098356
SRR25158290,2748.662874563187
SRR25158422,2262.5253822467585
SRR25158222,4107.156480423285
SRR25158284,2755.057829701407
SRR25158186,2231.4261782248414
SRR25158277,4050.80980768139
SRR25158342,2005.8848592138463
SRR25158385,1540.595635501357
SRR25158431,2302.6167140972343
SRR25158322,2324.028277502995
SRR25158499,1764.3855199080476
SRR25158493,3793.645599745954
SRR25158314,2343.7415563339778
SRR25158416,2631.427569711695
SRR25158326,3146.794299727047
SRR25158492,2362.309276231558
SRR25158272,1919.3754332626756
SRR25158221,3946.221321660432
SRR25158435,1882.218709573243
SRR25158530,2882.593069646691
SRR25158537,2390.158370481211
SRR25158379,1781.6457290286198
SRR25158266,1392.8837516963301
SRR25158325,2547.8688766722244
SRR25158450,1199.5452568084336
SRR25158257,2434.24719706605
SRR25158317,2076.9661268343802
SRR25158373,2645.62544963349
SRR25158505,3451.9328338764644
SRR25158205,1980.4119758879626
SRR25158243,3035.142344718676
SRR25158468,3079.9409013978197
SRR25158302,2541.2844315973034
SRR25158195,2279.438801455916
SRR25158452,1722.0986246633702
SRR25158217,1628.4684368728308
SRR25158395,2266.6681311422903
SRR25158234,3705.3127760124535
SRR25158451,2618.1873820450833
SRR25158216,3587.1520102675318
SRR25158406,2945.646365689329
SRR25158324,2490.4683009390087
SRR25158340,1705.3711734669025
SRR25158400,3365.0305965012794
SRR25158344,1831.326852372531
SRR25158240,2523.8493011910386
SRR25158507,2193.4179488622444
SRR25158206,2806.3510742736844
SRR25158198,2341.1154641560906
SRR25158490,3570.4761400332345
SRR25158193,2085.0638584713774
SRR25158283,3470.343358749935
SRR25158194,2042.8371634960388
SRR25158371,2817.3081813799386
SRR25158204,1423.0284782623178
SRR25158455,2864.9372531110293
SRR25158294,2027.6429912588997
SRR25158459,2162.432392027528
SRR25158310,1540.113486138436
SRR25158460,2769.8208209458703
SRR25158316,2840.3103033431366
SRR25158218,3721.227323689846
SRR25158500,3490.6742643827065
SRR25158220,3473.1806445717475
SRR25158334,2694.774421606269
SRR25158211,3720.6242386983586
SRR25158219,3326.8754924414116
SRR25158498,2016.9221158142207
SRR25158369,2627.522141464059
SRR25158263,1440.0023008665112
SRR25158427,2873.1930274888045
SRR25158419,3010.5907858968267
SRR25158235,3805.653919754255
SRR25158365,3234.6746252480934
SRR25158330,2728.4173948700727
SRR25158370,2772.562327357398
SRR25158199,2491.082869214443
SRR25158515,2245.0535396524547
SRR25158184,2396.5394522815704
SRR25158409,2806.4849358769247
