"term","estimate","std.error","statistic","p.value","sig"
"(Intercept)",-64.65,4.795,-13.48,2.03e-41,"***"
"log(len)",-0.4281,0.1508,-2.839,0.00453,"**"
"log(sum_len.x)",1.528,0.07881,19.39,9.48e-84,"***"
"log(Q2.x)",5.135,0.6642,7.732,1.06e-14,"***"
"classaac(2')",0.1364,0.1565,0.8713,0.384,""
"classaac(3)",0.1673,0.1103,1.517,0.129,""
"classaac(6')",0.1438,0.1266,1.135,0.256,""
"classaph(2'')",0.01001,0.2146,0.04663,0.963,""
"classaph(3')",0.1159,0.2198,0.5274,0.598,""
"classbeta-lactamase A",0.1504,0.1047,1.436,0.151,""
"classbeta-lactamase B1-B2",-0.6357,0.2705,-2.35,0.0188,"*"
"classbeta-lactamase B3",-0.0008487,0.08492,-0.009995,0.992,""
"classbeta-lactamase C",-0.417,0.7326,-0.5692,0.569,""
"classbeta-lactamase D",-0.02747,0.1517,-0.1811,0.856,""
"classerm",0.1465,0.2564,0.5712,0.568,""
"classmph",-0.9899,1.024,-0.9668,0.334,""
"classtet efflux",0.3489,1.054,0.3312,0.74,""
"classtet enzyme",0.1825,0.3081,0.5921,0.554,""
"classtet RPG",-1.243,0.6029,-2.061,0.0393,"*"
"LocationGongQing Forest Park",-0.02817,0.06579,-0.4282,0.668,""
"LocationHuangXing Park",0.01107,0.09022,0.1227,0.902,""
"LocationNanjing Agricultural University",0.4378,0.07701,5.685,1.31e-08,"***"
"LocationShiJi Park",0.07418,0.07718,0.9612,0.336,""
"LocationSun Yat-sen Mausoleum",0.0507,0.06708,0.7558,0.45,""
