"term","estimate","std.error","statistic","p.value","sig"
"(Intercept)",-59.8,3.737,-16,1.26e-57,"***"
"log(len)",-0.4242,0.1508,-2.813,0.0049,"**"
"log(sum_len.x)",1.327,0.0693,19.14,1.1e-81,"***"
"log(Q2.x)",5.067,0.4232,11.97,4.84e-33,"***"
"classaac(2')",0.1397,0.1564,0.8932,0.372,""
"classaac(3)",0.163,0.1102,1.479,0.139,""
"classaac(6')",0.1301,0.1266,1.027,0.304,""
"classaph(2'')",-0.00132,0.2145,-0.006154,0.995,""
"classaph(3')",0.1222,0.2196,0.5563,0.578,""
"classbeta-lactamase A",0.1561,0.1046,1.492,0.136,""
"classbeta-lactamase B1-B2",-0.6365,0.2704,-2.354,0.0186,"*"
"classbeta-lactamase B3",-0.01921,0.0848,-0.2265,0.821,""
"classbeta-lactamase C",-0.3884,0.7323,-0.5304,0.596,""
"classbeta-lactamase D",-0.01991,0.1516,-0.1313,0.896,""
"classerm",0.1527,0.2562,0.5962,0.551,""
"classmph",-0.9898,1.024,-0.9669,0.334,""
"classtet efflux",0.357,1.051,0.3395,0.734,""
"classtet enzyme",0.1555,0.3077,0.5052,0.613,""
"classtet RPG",-1.215,0.6027,-2.016,0.0438,"*"
