"class","label","N","n","r"
"aac(2')","H",172,145,0.843023255813954
"aac(2')","L",172,15,0.0872093023255814
"aac(2')","U",172,12,0.0697674418604651
"aac(3)","H",738,541,0.733062330623306
"aac(3)","L",738,89,0.12059620596206
"aac(3)","U",738,108,0.146341463414634
"aac(6')","H",1250,927,0.7416
"aac(6')","L",1250,140,0.112
"aac(6')","U",1250,183,0.1464
"aph(2'')","H",125,76,0.608
"aph(2'')","L",125,13,0.104
"aph(2'')","U",125,36,0.288
"aph(3')","H",51,41,0.803921568627451
"aph(3')","L",51,3,0.0588235294117647
"aph(3')","U",51,7,0.137254901960784
"aph(6)","H",420,233,0.554761904761905
"aph(6)","L",420,80,0.19047619047619
"aph(6)","U",420,107,0.254761904761905
"beta-lactamase A","H",521,295,0.566218809980806
"beta-lactamase A","L",521,105,0.201535508637236
"beta-lactamase A","U",521,121,0.232245681381958
"beta-lactamase B1-B2","H",24,19,0.791666666666667
"beta-lactamase B1-B2","L",24,2,0.0833333333333333
"beta-lactamase B1-B2","U",24,3,0.125
"beta-lactamase B3","H",3802,3066,0.806417674907943
"beta-lactamase B3","L",3802,310,0.0815360336664913
"beta-lactamase B3","U",3802,426,0.112046291425565
"beta-lactamase C","H",4,2,0.5
"beta-lactamase C","L",4,1,0.25
"beta-lactamase C","U",4,1,0.25
"beta-lactamase D","H",132,99,0.75
"beta-lactamase D","L",132,13,0.0984848484848485
"beta-lactamase D","U",132,20,0.151515151515152
"erm","H",48,30,0.625
"erm","L",48,3,0.0625
"erm","U",48,15,0.3125
"mph","H",1,1,1
"tet RPG","H",3,1,0.333333333333333
"tet RPG","L",3,1,0.333333333333333
"tet RPG","U",3,1,0.333333333333333
"tet efflux","H",1,1,1
"tet enzyme","H",21,17,0.80952380952381
"tet enzyme","L",21,2,0.0952380952380952
"tet enzyme","U",21,2,0.0952380952380952
