sample,Shannon_index
SNJ20_350,7.132481231491555
CPSNJ19_350,7.0756293023288235
20_350,7.1723673924727205
19_350,7.2799979281239064
SNJ16_350,7.258722320212496
CPSNJ20_350,7.212256634214568
CPSNJ10_350,7.075356917346769
23_350,7.290605662848967
25_350,7.126252474397256
15_350,7.098313021520952
26_350,7.157047710803537
4_350,7.079587329196179
16_350,7.066036575740337
3_350,7.080177674117288
6_350,7.0919027019042735
CPSNJ02_350,7.264907873836689
13_350,7.080601468572615
CPSNJ09_350,6.875796451665729
2_350,7.133215611685931
SNJ01_350,7.118060935554725
CPSNJ08_350,7.126955504852073
SNJ02_350,7.238583467353143
CPSNJ15_350,7.350884794299179
CPSNJ16_350,7.1122269762990165
SNJ09_350,6.9221040652411014
24_350,7.061055703174805
SNJ13_350,7.2387500374685745
30_350,7.252949567178494
1_350,7.218126423820784
22_350,7.168198320124087
CPSNJ03_350,7.057581893477234
SNJ14_350,7.182607783918964
SNJ15_350,7.273238732038364
CPSNJ14_350,7.057483941223846
8_350,7.059447325382079
CPSNJ01_350,7.079491127294093
17_350,7.039250029231972
SNJ10_350,7.190373432970619
CPSNJ11_350,6.917165920628253
SNJ03_350,7.030994710055932
14_350,7.258798803645614
SNJ08_350,7.159886402849464
SNJ11_350,7.047559328183434
7_350,6.977768947139392
CPSNJ13_350,7.024767374910979
CPSNJ04_350,7.2016361486978475
SNJ19_350,7.0262024276302855
28_350,7.164064025460894
12_350,7.303960741432044
10_350,6.8864147673414955
18_350,6.813974680178676
11_350,7.254586049280535
5_350,6.917216812921588
SNJ04_350,7.281951319038829
29_350,7.536535941892328
27_350,7.415987804481215
21_350,7.292711585655597
9_350,7.088139382398291
