Original_sample_name ,Site
D000_350,Dog
D001_350,Dog
D002_350,Dog
D003_350,Dog
D004_350,Dog
D005_350,Dog
D006_350,Dog
D007_350,Dog
D008_350,Dog
D010_350,Dog
D011_350,Dog
D012_350,Dog
D013_350,Dog
D014_350,Dog
D015_350,Dog
D016_350,Dog
D017_350,Dog
D018_350,Dog
D019_350,Dog
D020_350,Dog
D021_350,Dog
D022_350,Dog
D023_350,Dog
D024_350,Dog
D025_350,Dog
D026_350,Dog
D027_350,Dog
D028_350,Dog
D029_350,Dog
D030_350,Dog
D031_350,Dog
D032_350,Dog
D033_350,Dog
D034_350,Dog
D035_350,Dog
D036_350,Dog
D037_350,Dog
D038_350,Dog
D039_350,Dog
D040_350,Dog
D041_350,Dog
D042_350,Dog
D043_350,Dog
D044_350,Dog
D045_350,Dog
D046_350,Dog
D047_350,Dog
D048_350,Dog
D049_350,Dog
D050_350,Dog
D051_350,Dog
D052_350,Dog
