Mag ID	Completeness	Contamination	Polish
SemiBin_0	96.9	0.95 	flye
SemiBin_1	100.0	1.28 	flye
SemiBin_10	77.98	1.91 	flye
SemiBin_11	60.89	1.79 	flye
SemiBin_110	43.54	1.85 	flye
SemiBin_112	31.15	4.29 	flye
SemiBin_115	42.59	0.16 	flye
SemiBin_118	27.27	0.45 	flye
SemiBin_12	59.08	0.57 	flye
SemiBin_1216	26.12	2.26 	flye
SemiBin_123	36.68	1.39 	flye
SemiBin_1234	31.39	4.46 	flye
SemiBin_124	49.29	1.2 	flye
SemiBin_1263	36.39	4.74 	flye
SemiBin_127	28.33	3.58 	flye
SemiBin_14	87.17	5.9 	flye
SemiBin_146	37.98	1.24 	flye
SemiBin_15	27.45	1.69 	flye
SemiBin_156	30.24	4.26 	flye
SemiBin_16	53.61	2.57 	flye
SemiBin_17	50.41	0.51 	flye
SemiBin_18	75.81	2.24 	flye
SemiBin_19	71.92	3.19 	flye
SemiBin_2	88.63	1.17 	flye
SemiBin_20	52.15	0.92 	flye
SemiBin_208	59.76	1.23 	flye
SemiBin_21	50.35	3.72 	flye
SemiBin_22	38.99	4.02 	flye
SemiBin_23	59.13	4.83 	flye
SemiBin_24	38.07	0.19 	flye
SemiBin_25	24.74	6.46 	flye
SemiBin_26	44.58	1.36 	flye
SemiBin_275	40.74	4.51 	flye
SemiBin_28	34.59	0.69 	flye
SemiBin_286	44.01	1.57 	flye
SemiBin_29	32.03	0.64 	flye
SemiBin_30	56.42	6.31 	flye
SemiBin_32	56.69	3.65 	flye
SemiBin_34	44.22	1.87 	flye
SemiBin_35	38.61	3.26 	flye
SemiBin_37	27.7	2.0 	flye
SemiBin_38	39.42	1.93 	flye
SemiBin_39	47.9	0.29 	flye
SemiBin_399	46.69	6.66 	flye
SemiBin_4	76.21	4.39 	flye
SemiBin_40	28.18	1.73 	flye
SemiBin_409	34.41	2.63 	flye
SemiBin_42	20.74	1.97 	flye
SemiBin_43	53.36	2.25 	flye
SemiBin_45	72.72	2.64 	flye
SemiBin_47	21.42	4.27 	flye
SemiBin_48	32.99	0.45 	flye
SemiBin_49	39.82	2.26 	flye
SemiBin_5	93.25	0.87 	flye
SemiBin_51	27.43	1.84 	flye
SemiBin_52	39.4	3.49 	flye
SemiBin_54	46.97	0.92 	flye
SemiBin_56	41.96	1.33 	flye
SemiBin_57	54.5	0.86 	flye
SemiBin_59	36.04	1.18 	flye
SemiBin_6	90.95	10.71 	flye
SemiBin_61	40.47	0.17 	flye
SemiBin_62	32.36	1.33 	flye
SemiBin_63	53.25	1.61 	flye
SemiBin_64	57.03	3.02 	flye
SemiBin_65	33.61	0.65 	flye
SemiBin_66	26.46	2.84 	flye
SemiBin_7	73.15	1.14 	flye
SemiBin_71	42.22	0.76 	flye
SemiBin_73	28.29	6.23 	flye
SemiBin_77	55.13	2.14 	flye
SemiBin_8	77.56	1.22 	flye
SemiBin_82	35.07	1.06 	flye
SemiBin_83	38.81	0.82 	flye
SemiBin_85	62.06	3.95 	flye
SemiBin_87	35.48	1.0 	flye
SemiBin_9	80.04	5.27 	flye
SemiBin_90	40.56	0.93 	flye
SemiBin_92	62.24	2.5 	flye
SemiBin_95	43.23	3.92 	flye
SemiBin_0	94.91	0.12 	flye
SemiBin_1	76.85	0.64 	flye
SemiBin_10	61.24	2.49 	flye
SemiBin_102	28.03	0.67 	flye
SemiBin_104	55.89	2.63 	flye
SemiBin_106	58.74	0.04 	flye
SemiBin_107	67.7	0.19 	flye
SemiBin_109	48.38	2.07 	flye
SemiBin_11	89.23	1.84 	flye
SemiBin_111	79.8	1.02 	flye
SemiBin_112	39.32	0.37 	flye
SemiBin_12	88.05	3.26 	flye
SemiBin_126	39.3	1.57 	flye
SemiBin_13	73.49	0.5 	flye
SemiBin_132	39.47	2.74 	flye
SemiBin_135	44.3	0.08 	flye
SemiBin_137	44.65	1.27 	flye
SemiBin_138	39.98	0.8 	flye
SemiBin_14	83.38	4.65 	flye
SemiBin_146	32.26	1.41 	flye
SemiBin_15	83.24	6.54 	flye
SemiBin_159	34.06	1.56 	flye
SemiBin_16	83.07	2.01 	flye
SemiBin_1617	39.08	3.87 	flye
SemiBin_1629	48.59	4.89 	flye
SemiBin_165	36.76	2.31 	flye
SemiBin_1670	72.4	31.28 	flye
SemiBin_17	71.7	2.36 	flye
SemiBin_1731	44.81	5.18 	flye
SemiBin_18	79.41	4.1 	flye
SemiBin_2	69.68	0.87 	flye
SemiBin_20	72.19	1.57 	flye
SemiBin_206	76.1	6.34 	flye
SemiBin_21	74.96	3.27 	flye
SemiBin_213	48.9	11.29 	flye
SemiBin_22	72.11	4.06 	flye
SemiBin_23	73.02	2.83 	flye
SemiBin_24	65.71	1.57 	flye
SemiBin_25	62.02	2.77 	flye
SemiBin_256	70.57	2.43 	flye
SemiBin_26	66.39	0.32 	flye
SemiBin_27	39.33	0.02 	flye
SemiBin_28	57.55	1.64 	flye
SemiBin_29	59.84	0.31 	flye
SemiBin_3	98.44	0.79 	flye
SemiBin_30	64.72	1.24 	flye
SemiBin_31	43.31	3.71 	flye
SemiBin_33	61.81	4.64 	flye
SemiBin_34	36.34	1.67 	flye
SemiBin_35	46.32	0.58 	flye
SemiBin_36	47.75	1.89 	flye
SemiBin_37	63.98	9.68 	flye
SemiBin_38	41.88	1.87 	flye
SemiBin_39	40.84	1.15 	flye
SemiBin_4	89.05	0.21 	flye
SemiBin_40	50.62	4.24 	flye
SemiBin_42	39.04	0.79 	flye
SemiBin_43	49.8	1.56 	flye
SemiBin_44	48.04	3.76 	flye
SemiBin_45	57.14	0.66 	flye
SemiBin_46	68.11	0.39 	flye
SemiBin_47	44.99	5.21 	flye
SemiBin_5	90.86	0.92 	flye
SemiBin_54	21.6	1.31 	flye
SemiBin_55	23.97	0.51 	flye
SemiBin_56	36.29	3.71 	flye
SemiBin_59	39.69	1.64 	flye
SemiBin_60	63.78	3.85 	flye
SemiBin_61	30.52	0.97 	flye
SemiBin_63	38.9	0.54 	flye
SemiBin_638	42.98	4.16 	flye
SemiBin_64	45.31	2.33 	flye
SemiBin_66	37.94	1.56 	flye
SemiBin_68	32.94	1.59 	flye
SemiBin_69	42.07	1.65 	flye
SemiBin_7	94.66	4.94 	flye
SemiBin_71	49.82	1.32 	flye
SemiBin_74	67.18	3.36 	flye
SemiBin_76	45.66	3.49 	flye
SemiBin_78	37.92	0.15 	flye
SemiBin_8	84.99	0.4 	flye
SemiBin_80	41.88	0.51 	flye
SemiBin_81	39.03	2.25 	flye
SemiBin_88	41.71	1.3 	flye
SemiBin_9	49.63	0.2 	flye
SemiBin_94	52.19	1.04 	flye
SemiBin_97	35.69	0.99 	flye
SemiBin_99	63.61	3.44 	flye
SemiBin_0	95.46	1.29 	flye
SemiBin_1	93.93	1.2 	flye
SemiBin_10	94.24	1.33 	flye
SemiBin_100	40.91	0.9 	flye
SemiBin_101	37.99	3.19 	flye
SemiBin_103	42.38	0.52 	flye
SemiBin_104	54.58	1.23 	flye
SemiBin_105	49.41	0.09 	flye
SemiBin_106	56.1	1.11 	flye
SemiBin_107	48.25	0.43 	flye
SemiBin_108	51.48	1.05 	flye
SemiBin_11	96.62	6.72 	flye
SemiBin_110	42.61	2.15 	flye
SemiBin_111	48.55	0.35 	flye
SemiBin_113	77.27	0.31 	flye
SemiBin_114	44.01	2.34 	flye
SemiBin_116	77.36	1.04 	flye
SemiBin_118	40.19	3.53 	flye
SemiBin_12	87.17	0.19 	flye
SemiBin_125	63.72	0.94 	flye
SemiBin_127	48.51	1.39 	flye
SemiBin_13	84.34	3.36 	flye
SemiBin_132	43.92	1.07 	flye
SemiBin_135	66.94	0.27 	flye
SemiBin_14	66.45	0.33 	flye
SemiBin_142	35.72	0.13 	flye
