AS_cluster_name	name	bin	length	contig_edge	completeness	contamination	N50	size	P_final	C_final	O_final	F_final	G_final	S_final	P_gtdb	C_gtdb	O_gtdb	F_gtdb	G_gtdb	S_gtdb	phylum	class	order	family	genus	species	final_product	coverage	distance
c01179_contig_...region001	contig_23406:1.0-38371.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	12373	True	NA	NA	NA	NA	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	not classified	not classified	lassopeptide	10.4314052602768	1330
c00530_contig_...region001	contig_3477:1.0-300501.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	22622	False	NA	NA	NA	NA	Actinobacteriota	Acidimicrobiia	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Actinobacteriota	Acidimicrobiia	not classified	not classified	not classified	not classified	terpene	16.6528163823789	1008
c01830_scaffol...region001	scaffold_45328:1.0-964596.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.11	43393	False	96.84	3.04	1128856	5034857	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	not classified	not classified	not classified	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	not classified	not classified	not classified	Verrucomicrobiota	Verrucomicrobiae	not classified	not classified	not classified	not classified	T1PKS	16.7775521489164	1375
c00880_contig_...region001	contig_25696:1.0-153541.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	20534	False	NA	NA	NA	NA	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	UBA10450	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	UBA10450	not classified	not classified	terpene	7.45145580634269	879
c00767_contig_...region001	contig_22904:1.0-359174.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.59	106753	False	64.81	1.642	359915	4400001	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Palsa-955	not classified	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Palsa-955	not classified	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	not classified	not classified	NRPS	8.02609505022019	1563
c01610_contig_...region001	contig_9904:1.0-224144.0_pilon_pilon_pilon_pilon_pilon_pilon	bin.63	34110	True	81.75	0	224724	1976163	Chloroflexota_A	Ellin6529	QHBO01	QHBO01	not classified	not classified	Chloroflexota_A	Ellin6529	QHBO01	QHBO01	not classified	not classified	Chloroflexota_A	Ellin6529	QHBO01	QHBO01	QHBO01	QHBO01 sp003243965	NRPS-like	24.0424743240597	1466
c01656_contig_...region001	contig_3608:1.0-96390.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	10852	False	NA	NA	NA	NA	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	Methyloceanibacter	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	Methyloceanibacter	not classified	bacteriocin	18.2090759092819	620
c00473_contig_...region001	contig_22588:1.0-356608.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	20752	False	NA	NA	NA	NA	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	not classified	not classified	terpene	9.29904259996136	907
c01220_contig_...region001	contig_11305:1.0-110788.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	35218	True	NA	NA	NA	NA	Proteobacteria	Gammaproteobacteria	UBA7966	UBA7966	USCg-Taylor	USCg-Taylor sp002007425	not classified	not classified	not classified	not classified	not classified	not classified	Proteobacteria	Gammaproteobacteria	UBA7966	UBA7966	USCg-Taylor	USCg-Taylor sp002007425	arylpolyene	52.1182754983366	1339
c00953_contig_...region001	contig_3311:1.0-78881.0_pilon_pilon_pilon_pilon_pilon_pilon	NA	30263	False	NA	NA	NA	NA	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	not classified	not classified	not classified	not classified	not classified	not classified	not classified	not classified	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	not classified	not classified	lassopeptide	15.5878898339409	1373
