snj13_SemiBin_61.fa_contig_6398_polypolish.region001	RRE-containing	RiPP	16888	31236	14349	snj13_SemiBin_61	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Ferrovibrionales;f__Ferrovibrionaceae;g__Desertibaculum;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Ferrovibrionales	f__Ferrovibrionaceae	g__Desertibaculum	s__
cpsnj02_SemiBin_18.fa_contig_6985_polypolish.region003	arylpolyene	other	1400180	1441370	41191	cpsnj02_SemiBin_18	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__DASXSB01;s__	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__CSP1-6	g__DASXSB01	s__
snj08_SemiBin_1011.fa_contig_3158_polypolish.region001	terpene	terpene	52049	73981	21933	snj08_SemiBin_1011	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__RBC074;f__RBC074;g__JAHBSF01;s__	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__RBC074	f__RBC074	g__JAHBSF01	s__
sample5_SemiBin_96.fa_contig_47116_polypolish.region001	RiPP-like	RiPP	16581	27843	11263	sample5_SemiBin_96	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_C;s__Nitrospira_C sp029240595	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira_C	s__Nitrospira_C sp029240595
sample27_SemiBin_67.fa_contig_139761_polypolish.region002	arylpolyene	other	82008	125596	43589	sample27_SemiBin_67	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__UXAT02;g__Defluviicoccus;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales	f__UXAT02	g__Defluviicoccus	s__
cpsnj10_SemiBin_56.fa_contig_63352_polypolish.region001	NRPS-like.RRE-containing	NRPS.RiPP	40079	92751	52673	cpsnj10_SemiBin_56	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__JACCXG01;s__	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__2-12-FULL-66-21	g__JACCXG01	s__
sample22_SemiBin_121.fa_contig_34894_polypolish.region001	arylpolyene	other	1	27136	27136	sample22_SemiBin_121	d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__SMWR01;g__;s__	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__SMWR01	g__	s__
sample22_SemiBin_158.fa_contig_3504_polypolish.region001	terpene	terpene	73903	95551	21649	sample22_SemiBin_158	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__DAINBQ01;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__DAINBQ01	s__
sample21_SemiBin_1792.fa_contig_21797_polypolish.region001	PKS-like.hserlactone	PKS.other	116076	157377	41302	sample21_SemiBin_1792	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__JACCXG01;s__	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__2-12-FULL-66-21	g__JACCXG01	s__
snj02_SemiBin_19.fa_contig_26632_polypolish.region001	phenazine	other	279067	299486	20420	snj02_SemiBin_19	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__AR5;s__	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__CSP1-6	g__AR5	s__
cpsnj20_SemiBin_132.fa_contig_50943_polypolish.region002	NRPS-like.betalactone	NRPS.other	52024	93937	41914	cpsnj20_SemiBin_132	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__CAIWHR01;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Casimicrobiaceae	g__CAIWHR01	s__
sample21_SemiBin_26.fa_contig_19149_polypolish.region001	T3PKS	PKS	32447	73472	41026	sample21_SemiBin_26	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__CAMLFJ01;s__	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__CSP1-6	g__CAMLFJ01	s__
sample29_SemiBin_31.fa_contig_3236_polypolish.region001	ladderane	other	218714	260774	42061	sample29_SemiBin_31	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JAICNG01;s__	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__JAICNG01	s__
snj20_SemiBin_16.fa_contig_85100_polypolish.region002	RRE-containing.lanthipeptide-class-ii.lassopeptide	RiPP	57318	92229	34912	snj20_SemiBin_16	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Pseudolabrys	s__
sample1_SemiBin_8.fa_contig_7294_polypolish.region003	terpene	terpene	652000	673792	21793	sample1_SemiBin_8	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__JACCXV01;f__JAHWKZ01;g__JAICNR01;s__	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__JACCXV01	f__JAHWKZ01	g__JAICNR01	s__
cpsnj03_SemiBin_264.fa_contig_60841_polypolish.region001	RRE-containing	RiPP	14959	35561	20603	cpsnj03_SemiBin_264	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp036277875	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__TA-21	s__TA-21 sp036277875
sample13_SemiBin_140.fa_contig_46749_polypolish.region001	terpene	terpene	1	21693	21693	sample13_SemiBin_140	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__V1-33;g__V1-33;s__	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiia	o__Verrucomicrobiales	f__V1-33	g__V1-33	s__
sample1_SemiBin_1789.fa_contig_19148_polypolish.region001	arylpolyene	other	1	37424	37424	sample1_SemiBin_1789	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__DASSBQ01;s__	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__DASSBQ01	s__
sample26_SemiBin_4.fa_contig_10788_polypolish.region002	NRPS-like	NRPS	1351433	1393973	42541	sample26_SemiBin_4	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__JACCXG01;s__	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__2-12-FULL-66-21	g__JACCXG01	s__
sample18_SemiBin_245.fa_contig_75220_polypolish.region002	terpene	terpene	68965	89672	20708	sample18_SemiBin_245	d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__Polarisedimenticolales;f__DASRJG01;g__DASRJG01;s__	d__Bacteria	p__Acidobacteriota	c__Polarisedimenticolia	o__Polarisedimenticolales	f__DASRJG01	g__DASRJG01	s__
cpsnj04_SemiBin_1080.fa_contig_29509_polypolish.region001	RRE-containing.lassopeptide	RiPP	60821	86078	25258	cpsnj04_SemiBin_1080	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__DATLLJ01;s__	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__DATLLJ01	s__
sample16_SemiBin_63.fa_contig_74389_polypolish.region001	ladderane	other	206587	247765	41179	sample16_SemiBin_63	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__;s__	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__CSP1-6	g__	s__
sample25_SemiBin_105.fa_contig_116533_polypolish.region001	hglE-KS	PKS	23789	69599	45811	sample25_SemiBin_105	d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__JACPZX01;f__JACPZX01;g__;s__	d__Bacteria	p__Acidobacteriota	c__Polarisedimenticolia	o__JACPZX01	f__JACPZX01	g__	s__
sample1_SemiBin_197.fa_contig_8079_polypolish.region002	ranthipeptide	RiPP	150288	171736	21449	sample1_SemiBin_197	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__DATBJJ01;s__	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__2-12-FULL-66-21	g__DATBJJ01	s__
sample21_SemiBin_68.fa_contig_31341_polypolish.region001	arylpolyene	other	50203	71057	20855	sample21_SemiBin_68	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__
snj03_SemiBin_8.fa_contig_25772_polypolish.region001	terpene	terpene	85303	106172	20870	snj03_SemiBin_8	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter;s__	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__Ilumatobacter	s__
sample27_SemiBin_161.fa_contig_23174_polypolish.region002	terpene	terpene	97268	117882	20615	sample27_SemiBin_161	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__JAEUMW01;g__JAEUMW01;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__JAEUMW01	g__JAEUMW01	s__
