Sample	Mag ID	nbps	Nr contigs	N50	L50	Completeness	Contamination	Quality	Drep_95	Drep_99	S16	S23	S5	Total tRNA	Unique tRNA	GTDB	MIMAG	SGB	ARO	Drug Class	Resistance Mechanism	AMR Gene Family
cpsnj01	cpsnj01_SemiBin_0	5051260	10	748488	3	99.97	0.22	High quality	T	T	2	2	1	41	20	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__	T	34_0	3000777;3002972	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_10	6169334	14	733099	3	91.13	2.78	High quality	T	T	1	1	1	48	20	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__CABJBCQ01;s__	T	1187_1	3002972;3000777	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_110	4445810	30	172645	9	50.92	1.11	Medium quality	T	T	0	0	0	19	12		F	1384_0	NA	NA	NA	NA
cpsnj01	cpsnj01_SemiBin_112	4872754	55	117499	16	57.39	6.5	Medium quality	T	T	1	1	0	43	17	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	F	601_0	3003724	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster
cpsnj01	cpsnj01_SemiBin_115	3892740	35	144473	10	57.02	0.0	Medium quality	F	T	2	1	1	33	16		F	57_1	NA	NA	NA	NA
cpsnj01	cpsnj01_SemiBin_118	2599706	15	228882	5	53.05	0.12	Medium quality	T	T	1	1	1	38	18		F	2649_1	3002891;3003724;3002961	glycopeptide antibiotic,tetracycline antibiotic	antibiotic target alteration,antibiotic target protection	tetracycline-resistant ribosomal protection protein,vanY; glycopeptide resistance gene cluster,vanW; glycopeptide resistance gene cluster
cpsnj01	cpsnj01_SemiBin_11	3825552	16	443567	4	84.83	4.01	Medium quality	F	T	1	1	1	51	20	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__AR31;s__	F	2809_1	3002956;3002961	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster
cpsnj01	cpsnj01_SemiBin_1216	2301717	49	50269	15	52.82	8.91	Medium quality	T	T	0	0	0	37	13		F	2365_1	3002972	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
cpsnj01	cpsnj01_SemiBin_1234	2321883	19	145013	7	54.97	7.6	Medium quality	T	T	2	1	1	20	9		F	1478_0	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_123	4589779	20	290469	6	67.1	0.22	Medium quality	F	T	1	1	1	32	14		F	1253_1	3002972;3000777	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_124	5103084	27	300455	6	61.01	7.77	Medium quality	F	T	1	1	1	43	18		F	1448_1	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_1263	4450499	50	104559	15	52.37	5.76	Medium quality	T	T	0	0	0	26	12		F	1242_4	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_127	3480562	17	343720	5	57.88	1.74	Medium quality	T	T	0	0	0	27	14		F	1156_5	NA	NA	NA	NA
cpsnj01	cpsnj01_SemiBin_12	5990259	13	663501	4	83.87	1.4	Medium quality	T	T	1	1	1	42	17	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__	F	1874_1	3000777;3004470;3002972	fluoroquinolone antibiotic; tetracycline antibiotic,tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic target protection,antibiotic efflux	glycopeptide resistance gene cluster; vanT,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_146	2201985	9	307368	3	55.2	0.98	Medium quality	T	T	0	0	0	23	14	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JABFSM01;s__	F	2585_1	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_14	7874059	19	604601	5	95.05	9.61	Medium quality	T	T	1	1	1	53	19	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_C;s__	F	1387_3	3000777;3002972	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_156	3874117	37	122237	11	56.07	5.53	Medium quality	T	T	0	0	0	38	16		F	1243_0	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_15	4172462	40	150432	10	69.36	2.45	Medium quality	T	T	1	1	1	28	16	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__UBA7656;f__UBA7656;g__JADGNW01;s__	F	1601_1	3002972	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
cpsnj01	cpsnj01_SemiBin_16	2904507	15	287197	5	75.19	4.37	Medium quality	T	T	2	2	1	34	17	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__	F	2306_0	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_17	6851172	62	165026	14	76.6	0.5	Medium quality	T	T	0	0	0	41	19	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavisolibacter;s__	F	1904_1	3002972	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
cpsnj01	cpsnj01_SemiBin_18	5866312	25	400184	6	83.51	2.58	Medium quality	F	F	2	2	2	38	16	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__;s__	F	1403_1	3000777	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cpsnj01	cpsnj01_SemiBin_19	6396491	15	586886	4	81.27	2.38	Medium quality	F	F	0	0	0	47	20		F	1285_1	3000777;3002972	fluoroquinolone antibiotic; tetracycline antibiotic,glycopeptide antibiotic	antibiotic target alteration,antibiotic efflux	glycopeptide resistance gene cluster; vanT,resistance-nodulation-cell division (RND) antibiotic efflux pump
