genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
sample17_SemiBin_471.fa,1_0,0.050000000000000044,average,fastANI,1
sample19_SemiBin_538.fa,2_0,0.050000000000000044,average,fastANI,2
sample29_SemiBin_441.fa,3_0,0.050000000000000044,average,fastANI,3
snj13_SemiBin_114.fa,4_0,0.050000000000000044,average,fastANI,4
sample27_SemiBin_107.fa,5_0,0.050000000000000044,average,fastANI,5
snj02_SemiBin_72.fa,6_0,0.050000000000000044,average,fastANI,6
snj01_SemiBin_57.fa,7_0,0.050000000000000044,average,fastANI,7
sample17_SemiBin_91.fa,8_0,0.050000000000000044,average,fastANI,8
snj09_SemiBin_226.fa,9_0,0.050000000000000044,average,fastANI,9
sample20_SemiBin_46.fa,10_0,0.050000000000000044,average,fastANI,10
sample29_SemiBin_232.fa,11_0,0.050000000000000044,average,fastANI,11
sample29_SemiBin_325.fa,12_0,0.050000000000000044,average,fastANI,12
cpsnj10_SemiBin_469.fa,13_1,0.050000000000000044,average,fastANI,13
sample14_SemiBin_250.fa,13_1,0.050000000000000044,average,fastANI,13
sample1_SemiBin_606.fa,13_1,0.050000000000000044,average,fastANI,13
sample24_SemiBin_212.fa,13_1,0.050000000000000044,average,fastANI,13
sample27_SemiBin_342.fa,13_1,0.050000000000000044,average,fastANI,13
sample30_SemiBin_209.fa,13_1,0.050000000000000044,average,fastANI,13
sample6_SemiBin_322.fa,13_1,0.050000000000000044,average,fastANI,13
sample7_SemiBin_443.fa,13_1,0.050000000000000044,average,fastANI,13
sample9_SemiBin_285.fa,13_1,0.050000000000000044,average,fastANI,13
sample17_SemiBin_399.fa,13_2,0.050000000000000044,average,fastANI,13
sample13_SemiBin_453.fa,13_3,0.050000000000000044,average,fastANI,13
sample15_SemiBin_384.fa,13_4,0.050000000000000044,average,fastANI,13
sample16_SemiBin_455.fa,13_5,0.050000000000000044,average,fastANI,13
snj19_SemiBin_436.fa,14_0,0.050000000000000044,average,fastANI,14
sample10_SemiBin_320.fa,15_1,0.050000000000000044,average,fastANI,15
sample11_SemiBin_217.fa,15_1,0.050000000000000044,average,fastANI,15
sample12_SemiBin_158.fa,15_1,0.050000000000000044,average,fastANI,15
sample13_SemiBin_319.fa,15_1,0.050000000000000044,average,fastANI,15
sample15_SemiBin_451.fa,15_1,0.050000000000000044,average,fastANI,15
sample18_SemiBin_494.fa,15_1,0.050000000000000044,average,fastANI,15
sample19_SemiBin_422.fa,15_1,0.050000000000000044,average,fastANI,15
sample1_SemiBin_672.fa,15_1,0.050000000000000044,average,fastANI,15
sample20_SemiBin_484.fa,15_1,0.050000000000000044,average,fastANI,15
sample22_SemiBin_394.fa,15_1,0.050000000000000044,average,fastANI,15
sample25_SemiBin_292.fa,15_1,0.050000000000000044,average,fastANI,15
sample27_SemiBin_310.fa,15_1,0.050000000000000044,average,fastANI,15
sample29_SemiBin_407.fa,15_1,0.050000000000000044,average,fastANI,15
sample30_SemiBin_236.fa,15_1,0.050000000000000044,average,fastANI,15
sample26_SemiBin_873.fa,15_2,0.050000000000000044,average,fastANI,15
snj01_SemiBin_500.fa,16_1,0.050000000000000044,average,fastANI,16
snj20_SemiBin_326.fa,16_1,0.050000000000000044,average,fastANI,16
snj02_SemiBin_252.fa,16_2,0.050000000000000044,average,fastANI,16
cpsnj01_SemiBin_275.fa,16_3,0.050000000000000044,average,fastANI,16
cpsnj08_SemiBin_342.fa,16_4,0.050000000000000044,average,fastANI,16
sample14_SemiBin_231.fa,17_1,0.050000000000000044,average,fastANI,17
sample23_SemiBin_431.fa,17_1,0.050000000000000044,average,fastANI,17
sample25_SemiBin_366.fa,17_1,0.050000000000000044,average,fastANI,17
sample17_SemiBin_412.fa,17_2,0.050000000000000044,average,fastANI,17
sample15_SemiBin_475.fa,17_3,0.050000000000000044,average,fastANI,17
snj20_SemiBin_400.fa,17_4,0.050000000000000044,average,fastANI,17
cpsnj10_SemiBin_827.fa,18_1,0.050000000000000044,average,fastANI,18
cpsnj11_SemiBin_345.fa,18_1,0.050000000000000044,average,fastANI,18
sample24_SemiBin_240.fa,19_0,0.050000000000000044,average,fastANI,19
snj03_SemiBin_301.fa,20_0,0.050000000000000044,average,fastANI,20
sample16_SemiBin_458.fa,21_1,0.050000000000000044,average,fastANI,21
sample19_SemiBin_382.fa,21_1,0.050000000000000044,average,fastANI,21
sample30_SemiBin_279.fa,21_1,0.050000000000000044,average,fastANI,21
sample17_SemiBin_602.fa,22_0,0.050000000000000044,average,fastANI,22
sample17_SemiBin_607.fa,23_0,0.050000000000000044,average,fastANI,23
sample17_SemiBin_955.fa,24_0,0.050000000000000044,average,fastANI,24
sample29_SemiBin_540.fa,25_0,0.050000000000000044,average,fastANI,25
sample16_SemiBin_428.fa,26_1,0.050000000000000044,average,fastANI,26
sample17_SemiBin_328.fa,26_1,0.050000000000000044,average,fastANI,26
sample19_SemiBin_406.fa,26_1,0.050000000000000044,average,fastANI,26
sample17_SemiBin_436.fa,27_0,0.050000000000000044,average,fastANI,27
sample17_SemiBin_714.fa,28_0,0.050000000000000044,average,fastANI,28
