Mag ID,Completeness,Contamination,GUNC Quality,MIMAG,Drep_95,Sample,Nr contigs,Quality,N50,L50
cpsnj01_SemiBin_0,99.97,0.22,High quality,T,T,cpsnj01,10,HQ-MIMAG,748488,3
cpsnj01_SemiBin_10,91.13,2.78,High quality,T,T,cpsnj01,14,HQ-MIMAG,733099,3
cpsnj01_SemiBin_110,50.92,1.11,Medium quality,F,T,cpsnj01,30,Medium quality,172645,9
cpsnj01_SemiBin_112,57.39,6.5,Medium quality,F,T,cpsnj01,55,Medium quality,117499,16
cpsnj01_SemiBin_115,57.02,0,Medium quality,F,F,cpsnj01,35,Medium quality,144473,10
cpsnj01_SemiBin_118,53.05,0.12,Medium quality,F,T,cpsnj01,15,Medium quality,228882,5
cpsnj01_SemiBin_11,84.83,4.01,Medium quality,F,F,cpsnj01,16,Medium quality,443567,4
cpsnj01_SemiBin_1216,52.82,8.91,Medium quality,F,T,cpsnj01,49,Medium quality,50269,15
cpsnj01_SemiBin_1234,54.97,7.6,Medium quality,F,T,cpsnj01,19,Medium quality,145013,7
cpsnj01_SemiBin_123,67.1,0.22,Medium quality,F,F,cpsnj01,20,Medium quality,290469,6
cpsnj01_SemiBin_124,61.01,7.77,Medium quality,F,F,cpsnj01,27,Medium quality,300455,6
cpsnj01_SemiBin_1263,52.37,5.76,Medium quality,F,T,cpsnj01,50,Medium quality,104559,15
cpsnj01_SemiBin_127,57.88,1.74,Medium quality,F,T,cpsnj01,17,Medium quality,343720,5
cpsnj01_SemiBin_12,83.87,1.4,Medium quality,F,T,cpsnj01,13,Medium quality,663501,4
cpsnj01_SemiBin_146,55.2,0.98,Medium quality,F,T,cpsnj01,9,Medium quality,307368,3
cpsnj01_SemiBin_14,95.05,9.61,Medium quality,F,T,cpsnj01,19,Medium quality,604601,5
cpsnj01_SemiBin_156,56.07,5.53,Medium quality,F,T,cpsnj01,37,Medium quality,122237,11
cpsnj01_SemiBin_15,69.36,2.45,Medium quality,F,T,cpsnj01,40,Medium quality,150432,10
cpsnj01_SemiBin_16,75.19,4.37,Medium quality,F,T,cpsnj01,15,Medium quality,287197,5
cpsnj01_SemiBin_17,76.6,0.5,Medium quality,F,T,cpsnj01,62,Medium quality,165026,14
cpsnj01_SemiBin_18,83.51,2.58,Medium quality,F,F,cpsnj01,25,Medium quality,400184,6
cpsnj01_SemiBin_19,81.27,2.38,Medium quality,F,F,cpsnj01,15,Medium quality,586886,4
cpsnj01_SemiBin_1,100,0.54,High quality,T,T,cpsnj01,3,HQ-MIMAG,2442979,2
cpsnj01_SemiBin_208,70.26,2.11,Medium quality,F,T,cpsnj01,14,Medium quality,322034,4
cpsnj01_SemiBin_20,63.55,1.32,Medium quality,F,F,cpsnj01,29,Medium quality,140133,8
cpsnj01_SemiBin_21,77.48,8.68,Medium quality,F,F,cpsnj01,40,Medium quality,402831,8
cpsnj01_SemiBin_22,72.48,4.22,Medium quality,F,T,cpsnj01,42,Medium quality,290603,11
cpsnj01_SemiBin_23,71.94,4.99,Medium quality,F,T,cpsnj01,19,Medium quality,194580,4
