#seq_name,length,cov.,circ.,repeat,mult.,alt_group,graph_path,MAG
cpsnj01_contig_52172,308050,8,Y,N,1,*,52172,cpsnj01_SemiBin_85
cpsnj01_contig_80150,30167,6,Y,N,1,*,80150,cpsnj01_SemiBin_30
cpsnj01_contig_28216,23827,6,Y,N,1,*,28216,cpsnj01_SemiBin_112
cpsnj02_contig_9516,328497,7,Y,N,1,*,9516,cpsnj02_SemiBin_132
cpsnj02_contig_75066,126410,11,Y,N,1,*,75066,cpsnj02_SemiBin_1731
cpsnj02_contig_573,62015,15,Y,N,3,*,573,cpsnj02_SemiBin_1731
cpsnj03_contig_8552,5250535,15,Y,N,2,*,8552,cpsnj03_SemiBin_1
cpsnj03_contig_26389,41769,5,Y,Y,1,*,26389,cpsnj03_SemiBin_114
cpsnj04_contig_90429,218651,21,Y,N,4,*,90429,cpsnj04_SemiBin_50
cpsnj10_contig_26072,103925,7,Y,N,1,*,26072,cpsnj10_SemiBin_1846
cpsnj10_contig_17997,92839,12,Y,N,3,*,17997,cpsnj10_SemiBin_1846
cpsnj10_contig_36966,86027,4,Y,N,1,*,36966,cpsnj10_SemiBin_1846
cpsnj10_contig_71983,85919,16,Y,N,3,*,71983,cpsnj10_SemiBin_1846
cpsnj10_contig_70103,83709,13,Y,N,2,*,70103,cpsnj10_SemiBin_1846
cpsnj10_contig_9048,77220,11,Y,N,1,*,9048,cpsnj10_SemiBin_1846
cpsnj10_contig_69187,37303,7,Y,Y,1,388,69187,cpsnj10_SemiBin_1846
cpsnj10_contig_72747,28251,4,Y,N,1,*,72747,cpsnj10_SemiBin_1846
cpsnj10_contig_73200,15627,14,Y,N,2,*,73200,cpsnj10_SemiBin_1846
cpsnj11_contig_15513,4867979,15,Y,N,2,*,15513,cpsnj11_SemiBin_2
cpsnj11_contig_10221,60290,7,Y,N,1,*,10221,cpsnj11_SemiBin_10
cpsnj11_contig_44458,42887,18,Y,N,2,*,44458,cpsnj11_SemiBin_93
cpsnj11_contig_36758,42287,14,Y,N,2,*,36758,cpsnj11_SemiBin_93
cpsnj11_contig_64406,38250,5,Y,N,1,*,64406,cpsnj11_SemiBin_93
cpsnj11_contig_20846,36830,8,Y,N,1,*,20846,cpsnj11_SemiBin_93
cpsnj11_contig_57469,30935,6,Y,N,1,*,57469,cpsnj11_SemiBin_93
cpsnj11_contig_64190,19571,5,Y,N,1,*,64190,cpsnj11_SemiBin_93
cpsnj11_contig_64301,19207,11,Y,N,1,*,64301,cpsnj11_SemiBin_93
cpsnj11_contig_62664,11778,11,Y,N,1,*,62664,cpsnj11_SemiBin_93
cpsnj11_contig_42728,11562,17,Y,N,2,*,42728,cpsnj11_SemiBin_93
cpsnj11_contig_64840,11029,10,Y,N,1,*,64840,cpsnj11_SemiBin_93
cpsnj11_contig_32030,8355,3,Y,Y,1,7776,32030,cpsnj11_SemiBin_93
cpsnj13_contig_57648,104820,10,Y,N,2,*,57648,cpsnj13_SemiBin_1479
cpsnj13_contig_9168,102548,9,Y,N,2,*,9168,cpsnj13_SemiBin_1479
cpsnj13_contig_57466,101878,7,Y,N,1,*,57466,cpsnj13_SemiBin_1479
cpsnj13_contig_54609,97731,4,Y,N,1,*,54609,cpsnj13_SemiBin_1479
cpsnj13_contig_57604,45623,7,Y,N,1,*,57604,cpsnj13_SemiBin_1479
cpsnj13_contig_57770,40412,9,Y,N,1,*,57770,cpsnj13_SemiBin_1479
cpsnj13_contig_57976,38933,11,Y,N,2,*,57976,cpsnj13_SemiBin_1479
cpsnj13_contig_44032,38312,18,Y,N,3,*,44032,cpsnj13_SemiBin_1479
cpsnj13_contig_56632,38222,19,Y,N,3,*,56632,cpsnj13_SemiBin_1479
cpsnj13_contig_57401,37326,4,Y,Y,2,*,57401,cpsnj13_SemiBin_1479
cpsnj13_contig_57771,36965,9,Y,N,1,*,57771,cpsnj13_SemiBin_1479
cpsnj13_contig_55962,36743,10,Y,N,1,*,55962,cpsnj13_SemiBin_1479
cpsnj13_contig_33908,35261,5,Y,N,1,*,33908,cpsnj13_SemiBin_1479
cpsnj13_contig_25538,18115,7,Y,N,1,*,25538,cpsnj13_SemiBin_1479
cpsnj13_contig_40301,16968,12,Y,N,2,*,40301,cpsnj13_SemiBin_1479
cpsnj13_contig_57675,16683,8,Y,N,1,*,57675,cpsnj13_SemiBin_1479
cpsnj13_contig_50295,16403,9,Y,N,1,*,50295,cpsnj13_SemiBin_1479
cpsnj13_contig_57997,16305,4,Y,N,1,*,57997,cpsnj13_SemiBin_1479
cpsnj13_contig_56544,15721,14,Y,N,2,*,56544,cpsnj13_SemiBin_1479
cpsnj13_contig_57902,15064,11,Y,N,1,*,57902,cpsnj13_SemiBin_1479
cpsnj14_contig_6801,4689460,18,Y,N,3,*,6801,cpsnj14_SemiBin_3
cpsnj16_contig_20935,2942959,19,Y,N,3,*,20935,cpsnj16_SemiBin_3
cpsnj16_contig_50016,561632,7,Y,N,1,*,50016,cpsnj16_SemiBin_121
cpsnj20_contig_5300,4050394,19,Y,N,3,*,5300,cpsnj20_SemiBin_12
cpsnj20_contig_12952,3535243,24,Y,N,4,*,12952,cpsnj20_SemiBin_1
cpsnj20_contig_6142,2002565,14,Y,N,2,*,6142,cpsnj20_SemiBin_22
cpsnj20_contig_53801,529845,8,Y,N,2,*,53801,cpsnj20_SemiBin_63
sample10_contig_93237,28536,8,Y,N,1,*,93237,sample10_SemiBin_36
sample14_contig_106557,43743,8,Y,N,2,*,106557,sample14_SemiBin_40
sample15_contig_11682,623979,10,Y,N,1,*,11682,sample15_SemiBin_65
sample15_contig_35636,255326,21,Y,N,3,*,35636,sample15_SemiBin_5
sample16_contig_80152,23281,3,Y,Y,1,450,80152,sample16_SemiBin_1786
sample17_contig_105425,227384,7,Y,N,1,*,105425,sample17_SemiBin_99
sample17_contig_108486,181971,9,Y,N,1,*,108486,sample17_SemiBin_60
sample17_contig_108662,49303,15,Y,N,2,*,108662,sample17_SemiBin_1
sample17_contig_110734,48791,11,Y,N,1,*,110734,sample17_SemiBin_230
sample18_contig_36990,337072,7,Y,N,1,*,36990,sample18_SemiBin_99
sample18_contig_65374,257111,8,Y,N,2,*,65374,sample18_SemiBin_199
sample18_contig_20954,216784,7,Y,N,1,*,20954,sample18_SemiBin_124
sample18_contig_18461,168036,6,Y,N,1,*,18461,sample18_SemiBin_171
sample18_contig_91139,161424,8,Y,N,1,*,91139,sample18_SemiBin_187
sample18_contig_34759,42355,10,Y,Y,2,520,34759,sample18_SemiBin_613
sample19_contig_65822,708971,10,Y,N,1,*,65822,sample19_SemiBin_70
sample19_contig_68008,45258,14,Y,N,2,*,68008,sample19_SemiBin_458
sample1_contig_64903,3472829,14,Y,N,2,*,64903,sample1_SemiBin_2
sample20_contig_4442,4352750,16,Y,N,3,*,4442,sample20_SemiBin_8
sample20_contig_9037,3651270,21,Y,N,4,*,9037,sample20_SemiBin_0
sample20_contig_11819,2687964,9,Y,N,1,*,11819,sample20_SemiBin_484
sample20_contig_24797,376993,9,Y,N,1,*,24797,sample20_SemiBin_137
sample20_contig_68680,40036,8,Y,N,1,*,68680,sample20_SemiBin_178
sample20_contig_7128,39527,98,Y,Y,19,6718,7128,sample20_SemiBin_33
