genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
sample17_SemiBin_471.fa,38.60053012181591,NA,NA,NA,NA,NA,1_0,NA,NA,1,NA,NA,NA,NA
sample19_SemiBin_538.fa,68.41201548635972,NA,NA,NA,NA,NA,2_0,NA,NA,1,NA,NA,NA,NA
sample29_SemiBin_441.fa,78.20521736125316,NA,NA,NA,NA,NA,3_0,NA,NA,1,NA,NA,NA,NA
snj13_SemiBin_114.fa,60.82949614943131,NA,NA,NA,NA,NA,4_0,NA,NA,1,NA,NA,NA,NA
sample27_SemiBin_107.fa,56.226529587844745,NA,NA,NA,NA,NA,5_0,NA,NA,1,NA,NA,NA,NA
snj02_SemiBin_72.fa,55.29700563299097,NA,NA,NA,NA,NA,6_0,NA,NA,1,NA,NA,NA,NA
snj01_SemiBin_57.fa,66.81613809289142,NA,NA,NA,NA,NA,7_0,NA,NA,1,NA,NA,NA,NA
sample17_SemiBin_91.fa,67.42422665513737,NA,NA,NA,NA,NA,8_0,NA,NA,1,NA,NA,NA,NA
snj09_SemiBin_226.fa,51.18710136689186,NA,NA,NA,NA,NA,9_0,NA,NA,1,NA,NA,NA,NA
sample20_SemiBin_46.fa,97.4657163516336,NA,NA,NA,NA,NA,10_0,NA,NA,1,NA,NA,NA,NA
sample29_SemiBin_232.fa,52.6213187572527,NA,NA,NA,NA,NA,11_0,NA,NA,1,NA,NA,NA,NA
sample29_SemiBin_325.fa,61.262341147824834,NA,NA,NA,NA,NA,12_0,NA,NA,1,NA,NA,NA,NA
sample24_SemiBin_212.fa,80.6932095241858,NA,NA,NA,NA,NA,13_1,NA,NA,9,98.26,95.96,NA,NA
sample17_SemiBin_399.fa,50.42732308503418,NA,NA,NA,NA,NA,13_2,NA,NA,1,NA,NA,NA,NA
sample13_SemiBin_453.fa,36.0824261420381,NA,NA,NA,NA,NA,13_3,NA,NA,1,NA,NA,NA,NA
sample15_SemiBin_384.fa,71.26150020118254,NA,NA,NA,NA,NA,13_4,NA,NA,1,NA,NA,NA,NA
sample16_SemiBin_455.fa,50.55708237081812,NA,NA,NA,NA,NA,13_5,NA,NA,1,NA,NA,NA,NA
snj19_SemiBin_436.fa,50.0061933915931,NA,NA,NA,NA,NA,14_0,NA,NA,1,NA,NA,NA,NA
sample13_SemiBin_319.fa,99.3852362198036,NA,NA,NA,NA,NA,15_1,NA,NA,14,98.54,95.43,NA,NA
sample26_SemiBin_873.fa,12.457362540954152,NA,NA,NA,NA,NA,15_2,NA,NA,1,NA,NA,NA,NA
snj20_SemiBin_326.fa,52.10518755716608,NA,NA,NA,NA,NA,16_1,NA,NA,2,96.55,96.55,NA,NA
snj02_SemiBin_252.fa,49.90170864913551,NA,NA,NA,NA,NA,16_2,NA,NA,1,NA,NA,NA,NA
cpsnj01_SemiBin_275.fa,38.316050085266376,NA,NA,NA,NA,NA,16_3,NA,NA,1,NA,NA,NA,NA
cpsnj08_SemiBin_342.fa,27.70007757922573,NA,NA,NA,NA,NA,16_4,NA,NA,1,NA,NA,NA,NA
sample14_SemiBin_231.fa,71.02291072218678,NA,NA,NA,NA,NA,17_1,NA,NA,3,96.02,94.26,NA,NA
sample17_SemiBin_412.fa,57.27794353453056,NA,NA,NA,NA,NA,17_2,NA,NA,1,NA,NA,NA,NA
sample15_SemiBin_475.fa,41.32976331789366,NA,NA,NA,NA,NA,17_3,NA,NA,1,NA,NA,NA,NA
snj20_SemiBin_400.fa,34.88236959390519,NA,NA,NA,NA,NA,17_4,NA,NA,1,NA,NA,NA,NA
cpsnj11_SemiBin_345.fa,85.48013266257914,NA,NA,NA,NA,NA,18_1,NA,NA,2,98.68,98.68,NA,NA
sample24_SemiBin_240.fa,38.289193786134526,NA,NA,NA,NA,NA,19_0,NA,NA,1,NA,NA,NA,NA
snj03_SemiBin_301.fa,65.01353431323884,NA,NA,NA,NA,NA,20_0,NA,NA,1,NA,NA,NA,NA
sample19_SemiBin_382.fa,97.8505605966798,NA,NA,NA,NA,NA,21_1,NA,NA,3,98.24,97.94,NA,NA
sample17_SemiBin_602.fa,36.03693994173396,NA,NA,NA,NA,NA,22_0,NA,NA,1,NA,NA,NA,NA
sample17_SemiBin_607.fa,22.968742099202423,NA,NA,NA,NA,NA,23_0,NA,NA,1,NA,NA,NA,NA
sample17_SemiBin_955.fa,30.98156155251576,NA,NA,NA,NA,NA,24_0,NA,NA,1,NA,NA,NA,NA
sample29_SemiBin_540.fa,60.02889875254565,NA,NA,NA,NA,NA,25_0,NA,NA,1,NA,NA,NA,NA
sample17_SemiBin_328.fa,82.52514051933795,NA,NA,NA,NA,NA,26_1,NA,NA,3,97.92,97.36,NA,NA
sample17_SemiBin_436.fa,57.61115216128306,NA,NA,NA,NA,NA,27_0,NA,NA,1,NA,NA,NA,NA
sample17_SemiBin_714.fa,48.14829941390722,NA,NA,NA,NA,NA,28_0,NA,NA,1,NA,NA,NA,NA
