Record	GBK	Record_Type	Record_Number	CC	Family
sample6_SemiBin_15.fa.gz_k141_5266614.region001.gbk_region_1	sample6_SemiBin_15.fa.gz_k141_5266614.region001	region	1	1	FAM_00001
sample15_SemiBin_86.fa.gz_k141_521985.region001.gbk_region_1	sample15_SemiBin_86.fa.gz_k141_521985.region001	region	1	1	FAM_00001
cpsnj03_SemiBin_22.fa.gz_k141_603896.region001.gbk_region_1	cpsnj03_SemiBin_22.fa.gz_k141_603896.region001	region	1	1	FAM_00001
snj19_SemiBin_166.fa.gz_k141_2033851.region001.gbk_region_1	snj19_SemiBin_166.fa.gz_k141_2033851.region001	region	1	1	FAM_00001
sample7_SemiBin_67.fa.gz_k141_3524610.region001.gbk_region_1	sample7_SemiBin_67.fa.gz_k141_3524610.region001	region	1	1	FAM_00001
sample16_SemiBin_56.fa.gz_k141_5090270.region001.gbk_region_1	sample16_SemiBin_56.fa.gz_k141_5090270.region001	region	1	1	FAM_00001
sample21_SemiBin_17.fa.gz_k141_3185799.region001.gbk_region_1	sample21_SemiBin_17.fa.gz_k141_3185799.region001	region	1	1	FAM_00001
sample22_SemiBin_26.fa.gz_k141_4510291.region001.gbk_region_1	sample22_SemiBin_26.fa.gz_k141_4510291.region001	region	1	1	FAM_00001
sample3_SemiBin_27.fa.gz_k141_2426860.region001.gbk_region_1	sample3_SemiBin_27.fa.gz_k141_2426860.region001	region	1	1	FAM_00001
sample20_SemiBin_12.fa.gz_k141_1509136.region001.gbk_region_1	sample20_SemiBin_12.fa.gz_k141_1509136.region001	region	1	1	FAM_00001
sample8_SemiBin_16.fa.gz_k141_154276.region001.gbk_region_1	sample8_SemiBin_16.fa.gz_k141_154276.region001	region	1	1	FAM_00001
sample4_SemiBin_32.fa.gz_k141_2485514.region001.gbk_region_1	sample4_SemiBin_32.fa.gz_k141_2485514.region001	region	1	1	FAM_00001
cpsnj19_SemiBin_57.fa.gz_k141_238513.region001.gbk_region_1	cpsnj19_SemiBin_57.fa.gz_k141_238513.region001	region	1	1	FAM_00001
sample9_SemiBin_34.fa.gz_k141_4094039.region001.gbk_region_1	sample9_SemiBin_34.fa.gz_k141_4094039.region001	region	1	1	FAM_00001
snj13_SemiBin_16.fa.gz_k141_1955653.region001.gbk_region_1	snj13_SemiBin_16.fa.gz_k141_1955653.region001	region	1	1	FAM_00001
snj03_SemiBin_173.fa.gz_k141_2629255.region001.gbk_region_1	snj03_SemiBin_173.fa.gz_k141_2629255.region001	region	1	1	FAM_00001
snj08_SemiBin_65.fa.gz_k141_151851.region001.gbk_region_1	snj08_SemiBin_65.fa.gz_k141_151851.region001	region	1	1	FAM_00001
cpsnj14_SemiBin_34.fa.gz_k141_2901491.region001.gbk_region_1	cpsnj14_SemiBin_34.fa.gz_k141_2901491.region001	region	1	1	FAM_00002
snj09_SemiBin_65.fa.gz_k141_909872.region001.gbk_region_1	snj09_SemiBin_65.fa.gz_k141_909872.region001	region	1	1	FAM_00002
cpsnj03_SemiBin_22.fa.gz_k141_2533162.region001.gbk_region_1	cpsnj03_SemiBin_22.fa.gz_k141_2533162.region001	region	1	1	FAM_00002
cpsnj10_SemiBin_93.fa.gz_k141_4363815.region001.gbk_region_1	cpsnj10_SemiBin_93.fa.gz_k141_4363815.region001	region	1	1	FAM_00002
cpsnj09_SemiBin_13.fa.gz_k141_2668382.region001.gbk_region_1	cpsnj09_SemiBin_13.fa.gz_k141_2668382.region001	region	1	1	FAM_00002
cpsnj13_SemiBin_142.fa.gz_k141_2937006.region001.gbk_region_1	cpsnj13_SemiBin_142.fa.gz_k141_2937006.region001	region	1	1	FAM_00002
snj15_SemiBin_23.fa.gz_k141_1168297.region001.gbk_region_1	snj15_SemiBin_23.fa.gz_k141_1168297.region001	region	1	1	FAM_00003
sample2_SemiBin_10.fa.gz_k141_146466.region001.gbk_region_1	sample2_SemiBin_10.fa.gz_k141_146466.region001	region	1	1	FAM_00003
sample5_SemiBin_7.fa.gz_k141_1475833.region001.gbk_region_1	sample5_SemiBin_7.fa.gz_k141_1475833.region001	region	1	1	FAM_00003
sample26_SemiBin_130.fa.gz_k141_4406179.region001.gbk_region_1	sample26_SemiBin_130.fa.gz_k141_4406179.region001	region	1	1	FAM_00003
sample28_SemiBin_63.fa.gz_k141_3604829.region001.gbk_region_1	sample28_SemiBin_63.fa.gz_k141_3604829.region001	region	1	1	FAM_00003
sample15_SemiBin_8.fa.gz_k141_5468528.region001.gbk_region_1	sample15_SemiBin_8.fa.gz_k141_5468528.region001	region	1	1	FAM_00004
sample18_SemiBin_6.fa.gz_k141_2668803.region001.gbk_region_1	sample18_SemiBin_6.fa.gz_k141_2668803.region001	region	1	1	FAM_00004
sample13_SemiBin_99.fa.gz_k141_1009577.region001.gbk_region_1	sample13_SemiBin_99.fa.gz_k141_1009577.region001	region	1	1	FAM_00004
sample14_SemiBin_19.fa.gz_k141_4514849.region001.gbk_region_1	sample14_SemiBin_19.fa.gz_k141_4514849.region001	region	1	1	FAM_00004
